WMC_CK_std;WMC_CK_50%;Bugged;NMI;NORM;DIT;WMC_CK_min;WMC_CK_75%;WMC_CK_count;WMC;WMC_CK_max;NOCh;NPM;WMC_CK_mean;WMC_CK_25%
0.0;1.0;False;0.0;0.0;1.0;1.0;1.0;1.0;25.0;1.0;0.0;7.0;1.0;1.0
2.3432688900143512;3.0;False;0.0;0.0;1.0;1.0;3.5;11.0;25.0;8.0;0.0;7.0;2.9090909090909087;1.0
0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;25.0;0.0;0.0;7.0;0.0;0.0
0.0;1.0;False;0.0;0.0;1.0;1.0;1.0;1.0;25.0;1.0;0.0;7.0;1.0;1.0
0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;False;0.0;0.0;1.0;1.0;1.0;1.0;13.0;1.0;0.0;0.0;1.0;1.0
0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0
0.0;2.0;False;0.0;0.0;1.0;2.0;2.0;1.0;13.0;2.0;0.0;0.0;2.0;2.0
0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0
0.0;2.0;False;0.0;0.0;1.0;2.0;2.0;1.0;13.0;2.0;0.0;0.0;2.0;2.0
1.4142135623730951;2.0;False;0.0;0.0;1.0;1.0;2.5;2.0;13.0;3.0;0.0;0.0;2.0;1.5
0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0
1.4142135623730951;2.0;False;0.0;0.0;1.0;1.0;2.5;2.0;13.0;3.0;0.0;0.0;2.0;1.5
