MethodLength_75%;blame_merge_blame_getEffort_min;blamemerge_blamegetVolume_std;blame_merge_blame_getVolume_std;blame_merge_blame_getDifficulty_min;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_50%;AnonymousInnerClassLength_25%;FileLength_max;blame_merge_blame_getVocabulary_min;blame_merge_blame_getEffort_std;blamemerge_blamegetLength_std;blame_merge_blame_getVolume_max;blamemerge_blamegetVocabulary_std;MethodLength_min;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_max;FileLength_count;blame_merge_blame_getDifficulty_max;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_min;blame_merge_blame_getVocabulary_max;Volume;blame_merge_blame_getLength_std;Effort;MethodLength_25%;blamemerge_blamegetLength_max;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_min;Difficulty;blamemerge_blamegetLength_mean;MethodLength_50%;MethodLength_max;FileLength_25%;blamemerge_blamegetDifficulty_count;FileLength_min;AnonymousInnerClassLength_max;blame_merge_blame_getLength_min;FileLength_75%;Bugged;blame_merge_blame_getLength_mean;Vocabulary;blame_merge_blame_getVocabulary_mean;MethodLength_mean;blamemerge_blamegetVocabulary_mean;TotalNumberOfOperands;blamemerge_blamegetDifficulty_mean;MethodLength_std;blame_merge_blame_getVocabulary_std;blame_merge_blame_getEffort_count;FileLength_50%;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_count;blame_merge_blame_getVolume_mean;NumberOfDistinctOperands;blamemerge_blamegetVolume_max;blamemerge_blamegetDifficulty_max;blame_merge_blame_getLength_count;blame_merge_blame_getLength_max;NumberOfDistinctOperators;TotalNumberOfOperators;blamemerge_blamegetVocabulary_count;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_mean;MethodLength_count;AnonymousInnerClassLength_count;blamemerge_blamegetVolume_count;blamemerge_blamegetEffort_mean;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_count;FileLength_mean;AnonymousInnerClassLength_std;Length;FileLength_std;blamemerge_blamegetEffort_std;blamemerge_blamegetEffort_count;blame_merge_blame_getDifficulty_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getVolume_count
0.0;0.0;6.066782893246237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.022260964415412;0.0;1.4707352468475727;0.0;1.1511627906976745;8.0;0.0;0.0;0.0;0.0;0.0;33.0;0.0;33.0;0.0;11.0;0.0;0.0;1.0;0.38372093023255816;0.0;0.0;0.0;258.0;0.0;0.0;0.0;0.0;False;0.0;8.0;0.0;0.0;0.2790697674418605;6.0;0.034883720930232565;0.0;0.0;0.0;0.0;33.0;258.0;0.0;6.0;33.0;1.0;0.0;0.0;2.0;5.0;258.0;0.1838419058559466;0.0;0.0;0.0;258.0;1.1511627906976745;0.0;0.0;0.0;0.0;11.0;0.0;6.066782893246237;258.0;0.0;0.0;0.0
0.0;0.0;14.288494745428855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.225253440911662;0.0;3.404604498159209;0.0;12.186363673088676;13.0;0.0;0.0;0.0;0.0;0.0;3487.041269092503;0.0;124128.98295394564;0.0;16.0;0.0;0.0;35.59722222222222;4.565891472868216;0.0;0.0;0.0;1161.0;0.0;0.0;0.0;0.0;False;0.0;94.0;0.0;0.0;4.006890611541774;233.0;1.1666666666666667;0.0;0.0;0.0;0.0;229.437600046154;1161.0;0.0;72.0;57.3594000115385;4.5;0.0;0.0;22.0;299.0;1161.0;1.2860323908614542;0.0;0.0;0.0;1161.0;26.027949349470987;0.0;0.0;0.0;0.0;532.0;0.0;38.172274882564246;1161.0;0.0;0.0;0.0
4.0;0.0;14.288494745428855;0.0;0.0;0.0;0.0;0.0;132.0;0.0;0.0;4.225253440911662;0.0;3.404604498159209;3.0;12.186363673088676;13.0;9.0;0.0;0.0;0.0;0.0;3487.041269092503;0.0;124128.98295394564;4.0;16.0;0.0;0.0;35.59722222222222;4.565891472868216;4.0;10.0;0.0;1161.0;0.0;0.0;0.0;0.0;False;0.0;94.0;0.0;4.5555555555555545;4.006890611541774;233.0;1.1666666666666667;2.068278940998476;0.0;0.0;0.0;229.437600046154;1161.0;0.0;72.0;57.3594000115385;4.5;0.0;0.0;22.0;299.0;1161.0;1.2860323908614542;0.0;9.0;9.0;1161.0;26.027949349470987;0.0;0.0;14.666666666666664;0.0;532.0;44.0;38.172274882564246;1161.0;0.0;0.0;0.0
4.0;0.0;15.26195726819941;0.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;4.7319085987265375;0.0;3.9314172327946046;3.0;13.981869367462807;10.0;4.0;0.0;0.0;0.0;0.0;1405.9154388306174;0.0;25945.530371146844;3.75;15.0;0.0;0.0;18.454545454545453;4.822256568778982;4.0;4.0;0.0;647.0;0.0;0.0;0.0;14.75;False;0.0;58.0;0.0;3.75;4.15919629057187;116.0;0.9443585780525502;0.5;0.0;0.0;0.0;121.5;647.0;0.0;44.0;49.82892142331044;4.5;0.0;0.0;14.0;124.0;647.0;1.179348162308743;0.0;4.0;4.0;647.0;26.648296270810746;0.0;0.0;14.75;0.0;240.0;29.5;34.83043789374297;647.0;0.0;0.0;0.0
0.0;0.0;8.440580931235361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6627068234721345;0.0;1.843412416249939;0.0;1.7916967399456547;9.0;0.0;0.0;0.0;0.0;0.0;41.20902501875006;0.0;41.20902501875006;0.0;13.0;0.0;0.0;1.0;0.5652173913043478;0.0;0.0;0.0;115.0;0.0;0.0;0.0;0.0;False;0.0;9.0;0.0;0.0;0.39130434782608703;7.0;0.043478260869565216;0.0;0.0;0.0;0.0;41.20902501875006;115.0;0.0;7.0;41.20902501875006;1.0;0.0;0.0;2.0;6.0;115.0;0.2048236018055488;0.0;0.0;0.0;115.0;1.7916967399456547;0.0;0.0;0.0;0.0;13.0;0.0;8.440580931235361;115.0;0.0;0.0;0.0
0.0;0.0;4.519571633470421;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6099038984917071;0.0;1.2521474766046614;0.0;0.8329514603907179;7.0;0.0;0.0;0.0;0.0;0.0;25.266194298518442;0.0;25.266194298518442;0.0;9.0;0.0;0.0;1.0;0.2967032967032967;0.0;0.0;0.0;273.0;0.0;0.0;0.0;0.0;False;0.0;7.0;0.0;0.0;0.2307692307692308;5.0;0.03296703296703297;0.0;0.0;0.0;0.0;25.266194298518442;273.0;0.0;5.0;25.266194298518442;1.0;0.0;0.0;2.0;4.0;273.0;0.17887821094352305;0.0;0.0;0.0;273.0;0.8329514603907179;0.0;0.0;0.0;0.0;9.0;0.0;4.519571633470421;273.0;0.0;0.0;0.0
7.75;0.0;19.603386913663485;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;5.33418363169897;0.0;4.268271591689391;0.0;11.633909373046016;18.0;6.0;0.0;0.0;0.0;0.0;2556.8110951432404;0.0;95241.21329408573;3.0;25.0;0.0;0.0;37.25;3.91;5.0;22.0;0.0;900.0;0.0;6.0;0.0;0.0;False;0.0;93.0;0.0;7.166666666666668;3.39;149.0;0.96;7.833687935236293;0.0;0.0;0.0;485.4377525623444;900.0;0.0;62.0;104.2481250360578;7.5;0.0;0.0;31.0;242.0;900.0;1.4232535694757924;1.0;6.0;6.0;900.0;35.074348480567394;0.0;0.0;16.666666666666668;2.449489742783178;391.0;40.82482904638629;84.21866611364621;900.0;0.0;0.0;0.0
3.75;0.0;15.046103297325196;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;4.343127173136834;0.0;3.87843533734584;0.0;9.897632843916533;17.0;6.0;0.0;0.0;0.0;0.0;1842.3863956592616;0.0;60485.892989568216;3.0;22.0;0.0;0.0;32.83018867924528;3.4973985431841834;3.0;16.0;0.0;961.0;0.0;0.0;0.0;0.0;False;0.0;83.0;0.0;4.833333333333333;3.272632674297607;116.0;0.9235171696149844;5.636192568273965;0.0;0.0;0.0;439.62933670337;961.0;0.0;53.0;89.92418250750748;4.888888888888889;0.0;0.0;30.0;173.0;961.0;1.2003643644213706;0.0;6.0;6.0;961.0;24.600072765193683;0.0;0.0;16.166666666666668;0.0;289.0;39.60008417499471;53.595738156726796;961.0;0.0;0.0;0.0
0.0;0.0;9.102218480826199;0.0;0.0;0.0;0.0;0.0;67.0;0.0;0.0;3.069047234041552;0.0;2.6521999782350516;0.0;3.6557222361052695;10.0;6.0;0.0;0.0;0.0;0.0;456.5696936695919;0.0;3505.8030049629383;0.0;11.0;0.0;0.0;7.678571428571429;1.2985074626865671;0.0;0.0;0.0;603.0;0.0;0.0;0.0;0.0;False;0.0;38.0;0.0;0.0;1.1492537313432836;43.0;0.2462686567164179;0.0;0.0;0.0;0.0;83.04820237218406;603.0;0.0;28.0;33.219280948873624;2.5;0.0;0.0;10.0;44.0;603.0;0.5887639855610289;0.0;6.0;6.0;603.0;5.405096711472209;0.0;0.0;11.166666666666664;0.0;87.0;27.352635461078826;14.522740754838251;603.0;0.0;0.0;0.0
3.0;0.0;11.781748529292779;0.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;3.6533778632001312;0.0;3.262867812818516;3.0;5.5434417955949415;13.0;2.0;0.0;0.0;0.0;0.0;623.6774618257454;0.0;9544.976807072275;3.0;14.0;0.0;0.0;15.304347826086955;2.0;3.0;3.0;14.75;531.0;0.0;0.0;0.0;44.25;False;0.0;39.0;0.0;3.0;1.8135593220338984;44.0;0.576271186440678;0.0;0.0;0.0;29.5;200.75790004038475;531.0;0.0;23.0;50.18947501009619;4.0;0.0;0.0;16.0;74.0;531.0;1.1612135949564182;0.0;2.0;2.0;531.0;14.392261200764626;0.0;0.0;29.5;0.0;118.0;41.719300090006314;38.626877973126;531.0;0.0;0.0;0.0
0.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;0.0;16.323683650231725;19.0;1.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;0.0;38.0;0.0;0.0;125.453125;5.152604887044721;0.0;0.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;0.0;4.3079760258183475;1085.0;1.237613389376875;0.0;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;1.0;1.0;6507.0;54.99882294587597;0.0;0.0;0.0;0.0;2808.0;0.0;111.95832559150492;6507.0;0.0;0.0;0.0
4.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;3.0;16.323683650231725;19.0;3.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;3.5;38.0;0.0;0.0;125.453125;5.152604887044721;4.0;4.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;3.6666666666666665;4.3079760258183475;1085.0;1.237613389376875;0.5773502691896258;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;3.0;3.0;6507.0;54.99882294587597;0.0;0.0;0.0;0.0;2808.0;0.0;111.95832559150492;6507.0;0.0;0.0;0.0
7.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;3.0;16.323683650231725;19.0;5.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;7.0;38.0;0.0;0.0;125.453125;5.152604887044721;7.0;14.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;7.6;4.3079760258183475;1085.0;1.237613389376875;3.9749213828703582;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;5.0;5.0;6507.0;54.99882294587597;0.0;0.0;0.0;0.0;2808.0;0.0;111.95832559150492;6507.0;0.0;0.0;0.0
0.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;0.0;16.323683650231725;19.0;0.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;0.0;38.0;0.0;0.0;125.453125;5.152604887044721;0.0;0.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;0.0;4.3079760258183475;1085.0;1.237613389376875;0.0;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;0.0;0.0;6507.0;54.99882294587597;0.0;0.0;0.0;0.0;2808.0;0.0;111.95832559150492;6507.0;0.0;0.0;0.0
3.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;547.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;3.0;16.323683650231725;19.0;25.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;3.0;38.0;0.0;0.0;125.453125;5.152604887044721;3.0;13.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;3.64;4.3079760258183475;1085.0;1.237613389376875;2.1385353243127248;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;25.0;25.0;6507.0;54.99882294587597;0.0;0.0;21.88;0.0;2808.0;109.4;111.95832559150492;6507.0;0.0;0.0;0.0
3.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;3.0;16.323683650231725;19.0;2.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;3.0;38.0;0.0;0.0;125.453125;5.152604887044721;3.0;3.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;3.0;4.3079760258183475;1085.0;1.237613389376875;0.0;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;2.0;2.0;6507.0;54.99882294587597;0.0;0.0;0.0;0.0;2808.0;0.0;111.95832559150492;6507.0;0.0;0.0;0.0
3.0;0.0;25.6921623060172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.661245323760469;0.0;4.876350200344541;3.0;16.323683650231725;19.0;3.0;0.0;0.0;0.0;0.0;21402.721509033505;0.0;2685038.2968129693;3.0;38.0;0.0;0.0;125.453125;5.152604887044721;3.0;3.0;0.0;6507.0;0.0;0.0;0.0;0.0;False;0.0;197.0;0.0;3.0;4.3079760258183475;1085.0;1.237613389376875;0.0;0.0;0.0;0.0;821.7808862370862;6507.0;0.0;160.0;161.42124551085624;7.5;0.0;0.0;37.0;1723.0;6507.0;1.603345595656381;0.0;3.0;3.0;6507.0;54.99882294587597;0.0;0.0;0.0;0.0;2808.0;0.0;111.95832559150492;6507.0;0.0;0.0;0.0
