NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfAttributes;NumberOfAncestors;Bugged;NumberOfProtectedAttributes;NumberOfMethods_Mood;NumberOfCoupledClasses;Cohesion;NumberOfSubclasses;NumberOfPublicAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberOfPolymorphicMethods
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
0.0;0.0;2.0;0.0;False;2.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0
0.0;1.0;5.0;0.0;False;4.0;10.0;0.0;0.0;0.0;0.0;0.0;8.0;10.0
0.0;0.0;1.0;0.0;False;1.0;15.0;0.0;0.2;0.0;0.0;0.0;11.0;11.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0
0.0;0.0;0.0;0.0;False;0.0;14.0;0.0;0.8333333333333334;0.0;0.0;0.0;14.0;0.0
0.0;0.0;2.0;0.0;False;2.0;6.0;0.0;0.16666666666666666;0.0;0.0;0.0;3.0;5.0
0.0;1.0;4.0;0.0;True;0.0;12.0;0.0;0.6666666666666666;0.0;3.0;0.0;11.0;0.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
0.0;5.0;5.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0
0.0;0.0;2.0;0.0;False;2.0;8.0;0.0;0.125;0.0;0.0;0.0;5.0;7.0
0.0;0.0;0.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0
0.0;3.0;3.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.0;6.0
0.0;0.0;2.0;0.0;False;2.0;10.0;0.0;0.0;0.0;0.0;0.0;8.0;10.0
0.0;0.0;3.0;0.0;False;3.0;6.0;0.0;0.5;0.0;0.0;0.0;6.0;6.0
0.0;4.0;4.0;0.0;False;0.0;5.0;0.0;0.2;0.0;0.0;0.0;1.0;3.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;2.0;0.0;False;2.0;7.0;0.0;0.0;0.0;0.0;0.0;5.0;7.0
0.0;0.0;2.0;0.0;False;2.0;8.0;0.0;0.0;0.0;0.0;0.0;6.0;8.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;3.0;3.0;0.0;False;0.0;8.0;0.0;0.25;0.0;0.0;0.0;5.0;6.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0
0.0;8.0;8.0;0.0;False;0.0;16.0;0.0;0.5;0.0;0.0;0.0;16.0;16.0
0.0;2.0;12.0;0.0;False;0.0;10.0;0.0;0.125;0.0;10.0;0.0;8.0;7.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
0.0;7.0;7.0;0.0;False;0.0;8.0;0.0;0.1875;0.0;0.0;0.0;2.0;4.0
0.0;0.0;0.0;0.0;False;0.0;7.0;0.0;0.21428571428571427;0.0;0.0;0.0;6.0;4.0
0.0;0.0;0.0;0.0;False;0.0;7.0;0.0;0.21428571428571427;0.0;0.0;0.0;6.0;4.0
0.0;0.0;1.0;0.0;False;1.0;2.0;0.0;0.5;0.0;0.0;0.0;2.0;2.0
0.0;0.0;2.0;0.0;False;2.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;10.0;0.0;False;10.0;10.0;0.0;0.2;0.0;0.0;0.0;6.0;8.0
0.0;0.0;21.0;0.0;False;21.0;12.0;0.0;0.0;0.0;0.0;0.0;10.0;12.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;3.0;3.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.0;6.0
0.0;0.0;0.0;0.0;False;0.0;9.0;0.0;0.0;0.0;0.0;0.0;7.0;9.0
0.0;14.0;14.0;0.0;False;0.0;14.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0
0.0;3.0;3.0;0.0;False;0.0;8.0;0.0;0.0;0.0;0.0;0.0;6.0;8.0
0.0;1.0;1.0;0.0;True;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;1.0;1.0;0.0;True;0.0;27.0;0.0;0.09523809523809523;0.0;0.0;0.0;17.0;16.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;2.0;4.0;0.0;True;2.0;19.0;0.0;0.0;0.0;0.0;0.0;17.0;19.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0
0.0;4.0;4.0;0.0;False;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0;12.0
0.0;1.0;1.0;0.0;False;0.0;7.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;1.0;0.0;False;1.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0
0.0;10.0;10.0;0.0;False;0.0;10.0;0.0;0.1;0.0;0.0;0.0;7.0;9.0
