ClTCi;NOL;Bugged;NOA;NSM;RTLOC;ClRCi;PMd;NPF;NOD;NSF;TLOC
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;0.0;True;0.0;0.0;7.0;4.0;0.0;0.0;0.0;0.0;3.0
2.0;0.0;False;0.0;0.0;11.0;1.0;1.0;0.0;0.0;0.0;8.0
6.0;0.0;False;0.0;0.0;28.0;2.0;3.0;0.0;0.0;0.0;21.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.666666667;0.0;False;0.0;0.0;67.0;2.777777778;4.0;1.0;0.0;1.0;45.0
7.0;0.0;False;0.0;0.0;82.0;1.75;4.0;1.0;0.0;1.0;42.0
5.0;0.0;False;0.0;0.0;13.0;1.666666667;0.0;0.0;0.0;0.0;5.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;0.0;True;0.0;0.0;9.0;2.0;0.0;0.0;0.0;0.0;4.0
1.0;0.0;False;0.0;0.0;9.0;1.0;1.0;0.0;0.0;0.0;5.0
4.0;0.0;False;0.0;0.0;26.0;1.333333333;2.0;0.0;0.0;3.0;18.0
6.0;0.0;False;0.0;0.0;17.0;2.0;3.0;0.0;0.0;0.0;11.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;False;0.0;0.0;13.0;1.0;1.0;0.0;0.0;0.0;8.0
8.0;0.0;False;0.0;0.0;59.0;2.0;3.0;0.0;0.0;0.0;48.0
13.0;0.0;False;0.0;0.0;56.0;3.25;3.0;0.0;0.0;2.0;49.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;False;0.0;0.0;12.0;1.0;1.0;0.0;0.0;0.0;8.0
9.0;0.0;False;0.0;0.0;71.0;2.25;3.0;0.0;0.0;2.0;60.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.666666667;0.0;False;0.0;0.0;26.0;2.555555556;3.0;0.0;0.0;1.0;17.0
6.666666667;0.0;False;0.0;0.0;37.0;2.222222222;1.0;0.0;0.0;1.0;27.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.5;0.0;False;0.0;0.0;30.0;1.3;5.0;1.0;0.0;1.0;20.0
11.0;0.0;False;0.0;0.0;63.0;2.2;4.0;2.0;0.0;3.0;41.0
6.0;0.0;False;0.0;0.0;58.0;1.5;4.0;2.0;0.0;2.0;45.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;False;0.0;0.0;10.0;1.0;1.0;1.0;0.0;1.0;6.0
6.0;0.0;False;0.0;0.0;32.0;1.5;4.0;0.0;0.0;0.0;23.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;10.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;10.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;1.0;0.0;1.0;6.0
6.0;0.0;False;0.0;0.0;52.0;2.0;3.0;0.0;0.0;0.0;46.0
4.0;0.0;False;0.0;0.0;30.0;2.0;2.0;0.0;0.0;0.0;23.0
9.0;0.0;False;0.0;0.0;73.0;2.25;4.0;0.0;0.0;0.0;64.0
9.0;0.0;False;0.0;0.0;73.0;2.25;4.0;0.0;0.0;0.0;64.0
6.0;0.0;False;0.0;0.0;53.0;2.0;3.0;0.0;0.0;0.0;43.0
9.0;0.0;False;0.0;0.0;57.0;2.25;4.0;0.0;0.0;0.0;46.0
9.0;0.0;False;0.0;0.0;57.0;2.25;4.0;0.0;0.0;0.0;46.0
6.0;0.0;False;0.0;0.0;42.0;2.0;2.0;0.0;0.0;0.0;34.0
4.0;0.0;False;0.0;0.0;30.0;2.0;2.0;0.0;0.0;0.0;23.0
7.0;0.0;False;0.0;0.0;53.0;1.166666667;3.0;0.0;0.0;0.0;43.0
4.0;0.0;False;0.0;0.0;30.0;2.0;2.0;0.0;0.0;0.0;23.0
6.0;0.0;False;0.0;0.0;35.0;2.0;2.0;0.0;0.0;0.0;28.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.0;0.0;False;0.0;0.0;21.0;1.5;4.0;0.0;0.0;0.0;14.0
1.0;0.0;False;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;3.0
3.0;0.0;False;0.0;0.0;17.0;1.0;3.0;1.0;0.0;1.0;13.0
5.0;0.0;False;0.0;0.0;27.0;1.0;5.0;2.0;0.0;2.0;21.0
7.0;0.0;False;0.0;0.0;53.0;1.4;4.0;0.0;0.0;0.0;37.0
11.0;0.0;False;0.0;0.0;53.0;1.833333333;6.0;2.0;0.0;3.0;28.0
7.0;0.0;False;0.0;0.0;52.0;1.4;4.0;0.0;0.0;0.0;37.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;False;0.0;0.0;16.0;1.0;2.0;0.0;0.0;1.0;9.0
7.0;0.0;False;0.0;1.0;55.0;1.4;4.0;0.0;0.0;1.0;40.0
2.0;0.0;False;0.0;0.0;16.0;1.0;2.0;0.0;0.0;1.0;9.0
19.0;0.0;False;0.0;0.0;88.0;2.714285714;4.0;0.0;0.0;2.0;68.0
11.0;0.0;False;0.0;0.0;81.0;1.833333333;6.0;2.0;0.0;3.0;30.0
