NumberOfMathOperations_std;NumberOfMathOperations_count;Mo;Mit;Average Complexity*;blamemerge_priorityMinor_mean;NumberOfMathOperations_50%;blamemerge_priorityMajor_mean;MaxNumberOfNestedBlocks_min;issues_priorityMajor_max;NumberOfModifiers_50%;blamemerge_priorityMajor_max;NumberOfMethods_Mood;issues_priorityMajor_std;Ao;NumberOfModifiers_75%;Maximum Block Depth;Ad;NumberOfModifiers_mean;blamemerge_priorityMajor_count;NumberOfModifiers_max;blame_merge_priorityMajor_max;MaxNumberOfNestedBlocks_mean;Average Statements per Method;NumberOfMathOperations_min;blame_merge_priorityMajor_std;blame_merge_priorityMinor_count;NumberOfMathOperations_max;blame_merge_priorityMajor_mean;blame_merge_priorityMinor_min;MaxNumberOfNestedBlocks_std;Maximum Depth_75%;issues_priorityMinor_max;Average Block Depth;Maximum Depth_std;MaxNumberOfNestedBlocks_max;Maximum Depth_count;blame_merge_priorityMajor_count;Maximum Depth_25%;blame_merge_priorityMinor_mean;Av;Maximum Complexity*;HMd;NumberOfModifiers_min;issues_priorityMinor_min;Maximum Depth_min;SIX;NMI;blame_merge_priorityMinor_max;PMd;blame_merge_priorityMajor_min;issues_priorityMajor_mean;MaxNumberOfNestedBlocks_25%;Maximum Depth_max;issues_priorityMinor_std;blamemerge_priorityMinor_max;issues_priorityMinor_count;NF;MaxNumberOfNestedBlocks_50%;PMR;issues_priorityMajor_count;Ait;MaxNumberOfNestedBlocks_count;blamemerge_priorityMajor_min;Maximum Depth_mean;NumberOfModifiers_count;Maximum Depth_50%;blamemerge_priorityMinor_min;blamemerge_priorityMinor_count;Ma;NMA;Mi;HMi;MaxNumberOfNestedBlocks_75%;NumberOfMathOperations_25%;Bugged;NM;blame_merge_priorityMinor_std;Md;PMi;issues_priorityMajor_min;Ai;NumberOfModifiers_std;blamemerge_priorityMinor_std;NumberOfModifiers_25%;NOPa;NumberOfMathOperations_mean;NumberOfMathOperations_75%;issues_priorityMinor_mean;blamemerge_priorityMajor_std
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.93;1.4142135623730951;0.0;2.0;0.0;0.5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;False;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;3.0;1.0;0.0;1.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;3.0;0.0;1.0;9.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;False;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;2.0;4.0;1.0;0.0;1.0;0.0;0.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.17;1.0;0.0;4.0;0.0;1.5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;4.0;0.0;1.5;4.0;2.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;False;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;3.0;5.0;1.0;0.0;1.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;1.38;1.4142135623730951;0.0;2.0;0.0;0.5;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;3.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;False;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.40824829046386296;6.0;0.0;0.0;1.43;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;1.0;3.0;7.0;1.0;0.0;1.0;0.0;0.16666666666666666;2.29;0.0;0.0;0.0;1.0;0.0;0.0;0.40824829046386296;2.0;1.0;1.23;0.983192080250175;1.0;6.0;0.0;2.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;3.0;0.0;0.0;9.0;7.0;0.0;1.0;9.0;0.0;6.0;0.0;1.8333333333333333;6.0;2.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;0.0;False;7.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;1.0;0.0
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;2.0;4.0;1.0;0.0;1.0;0.0;0.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.89;1.4142135623730951;0.0;2.0;0.0;0.5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;False;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1.4142135623730951;2.0;0.0;0.0;1.67;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;2.0;3.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.5;1.0;1.09;1.4142135623730951;0.0;2.0;0.0;0.5;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;9.0;3.0;0.0;1.0;9.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.5;False;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.5;1.0;0.0
0.0;11.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;11.0;0.0;0.0;17.0;2.0;5.0;14.090909090909092;0.0;17.0;0.0;0.0;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.3;0.8164965809277259;0.0;6.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;11.0;0.0;1.6666666666666667;11.0;2.0;0.0;0.0;13.0;13.0;0.0;0.0;0.0;0.0;False;13.0;0.0;13.0;0.0;0.0;0.0;6.472318679647125;0.0;17.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.63;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;1.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.22;0.0;0.0;4.0;0.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;6.0;0.0;2.0;6.0;2.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;False;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
