NOCh;WMC_CK_25%;Bugged;DIT;WMC_CK_mean;WMC_CK_min;WMC_CK_max;NORM;WMC_CK_75%;NPM;NMI;WMC;WMC_CK_count;WMC_CK_std;WMC_CK_50%
0.0;1.0;False;0.0;1.1176470588235294;1.0;3.0;0.0;1.0;0.0;0.0;0.0;17.0;0.48507125007266605;1.0
0.0;1.0;True;0.0;1.5;1.0;4.0;0.0;1.25;0.0;0.0;0.0;8.0;1.0690449676496976;1.0
0.0;2.0;False;0.0;1.8461538461538465;1.0;3.0;0.0;2.0;0.0;0.0;0.0;13.0;0.5547001962252291;2.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;8.0;0.0;1.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;False;0.0;1.4444444444444444;1.0;3.0;0.0;2.0;0.0;0.0;0.0;9.0;0.7264831572567789;1.0
0.0;2.0;False;0.0;2.1666666666666665;1.0;3.0;0.0;2.75;0.0;0.0;0.0;6.0;0.7527726527090809;2.0
0.0;1.0;False;0.0;1.7;1.0;3.0;0.0;2.0;0.0;0.0;0.0;20.0;0.6569466853317862;2.0
0.0;1.0;False;0.0;1.3333333333333333;1.0;3.0;0.0;1.0;0.0;0.0;0.0;9.0;0.7071067811865476;1.0
0.0;1.0;False;0.0;1.6666666666666667;1.0;3.0;0.0;2.0;0.0;0.0;0.0;9.0;0.7071067811865476;2.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;17.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;8.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0
0.0;1.0;False;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
0.0;1.0;False;0.0;1.2;1.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0;0.4472135954999579;1.0
