WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
17.0;0.0;4.0;1.0;1.0;1.75;3.0;0.0;4.573474244670748;False;2.5;4.25;0.0;11.0;5.0
15.0;0.0;7.0;1.0;1.0;1.0;7.0;0.0;1.0690449676496976;False;3.0;2.142857142857143;0.0;3.0;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
4.0;0.0;3.0;1.0;1.0;1.0;3.0;0.0;0.5773502691896257;False;1.0;1.3333333333333333;0.0;2.0;1.5
19.0;0.0;5.0;1.0;1.0;1.0;3.0;0.0;5.196152422706632;False;1.0;4.0;0.0;13.0;4.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
6.0;0.0;3.0;1.0;1.0;2.0;3.0;0.0;1.5275252316519463;False;3.0;2.6666666666666665;0.0;4.0;3.5
10.0;0.0;8.0;1.0;1.0;1.0;2.0;0.0;0.7071067811865476;False;1.0;1.25;0.0;3.0;1.0
10.0;0.0;9.0;1.0;1.0;1.0;2.0;0.0;0.5;False;1.0;1.3333333333333333;0.0;2.0;2.0
9.0;0.0;8.0;1.0;1.0;1.0;2.0;0.0;0.3535533905932738;False;1.0;1.125;0.0;2.0;1.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
2.0;0.0;4.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
6.0;0.0;5.0;1.0;1.0;1.0;5.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
5.0;0.0;4.0;1.0;1.0;1.0;4.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
