NORM;NMIR;WMC_CK_max;WMC;WMC_CK_25%;WMC_CK_50%;WMC_CK_count;DIT;NPM;NOCh;WMC_CK_std;Bugged;WMC_CK_min;WMC_CK_mean;WMC_CK_75%;NMI
0.0;0.0;1.0;0.0;1.0;1.0;8.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;24.0;0.0;0.0;0.0;0.2041241452319315;False;1.0;1.0416666666666667;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;19.0;0.0;0.0;0.0;0.2294157338705617;False;1.0;1.0526315789473684;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;23.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;8.0;0.0;1.0;1.0;14.0;0.0;0.0;0.0;1.9057460827371864;False;1.0;1.6428571428571428;1.0;0.0
0.0;0.0;2.0;0.0;2.0;2.0;5.0;0.0;0.0;0.0;0.4472135954999581;False;1.0;1.8;2.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;9.0;0.0;2.0;2.0;5.0;0.0;0.0;0.0;3.3911649915626336;False;1.0;4.0;6.0;0.0
0.0;0.0;8.0;0.0;2.5;3.0;7.0;0.0;0.0;0.0;2.115700942049815;False;2.0;3.8571428571428568;4.5;0.0
0.0;0.0;2.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;False;2.0;2.0;2.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;9.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;9.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.5;False;1.0;1.25;1.25;0.0
0.0;0.0;1.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.31622776601683794;True;1.0;1.1;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;13.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.5;False;1.0;1.25;1.25;0.0
0.0;0.0;5.0;0.0;1.0;1.0;18.0;0.0;0.0;0.0;1.308594016742242;False;1.0;1.7777777777777777;2.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;93.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;4.0;0.0;1.0;1.0;34.0;0.0;0.0;0.0;0.7294419521095056;False;1.0;1.2058823529411764;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;22.0;0.0;0.0;0.0;0.35125008665710444;False;1.0;1.1363636363636365;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;3.0;0.0;1.0;1.0;28.0;0.0;0.0;0.0;0.5245305283129621;False;1.0;1.1428571428571428;1.0;0.0
0.0;0.0;3.0;0.0;1.0;1.0;21.0;0.0;0.0;0.0;0.7496030695673291;False;1.0;1.5238095238095235;2.0;0.0
0.0;0.0;3.0;0.0;1.0;1.0;7.0;0.0;0.0;0.0;0.951189731211342;False;1.0;1.7142857142857142;2.5;0.0
0.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;2.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;False;2.0;2.0;2.0;0.0
0.0;0.0;6.0;0.0;1.0;1.0;5.0;0.0;0.0;0.0;2.23606797749979;False;1.0;2.0;1.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;4.0;0.0;1.25;2.5;6.0;0.0;0.0;0.0;1.2110601416389968;False;1.0;2.333333333333333;3.0;0.0
0.0;0.0;3.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.6992058987801011;False;1.0;1.4;1.75;0.0
0.0;0.0;3.0;0.0;1.0;1.0;13.0;0.0;0.0;0.0;0.6304251719561152;False;1.0;1.3076923076923077;1.0;0.0
0.0;0.0;4.0;0.0;1.0;1.0;22.0;0.0;0.0;0.0;0.7798878818298873;False;1.0;1.318181818181818;1.0;0.0
0.0;0.0;2.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;0.40824829046386296;False;1.0;1.1666666666666667;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;5.0;0.0;1.0;1.0;18.0;0.0;0.0;0.0;1.0921586228732252;False;1.0;1.6111111111111112;2.0;0.0
0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
