MethodLength_min;FileLength_min;AnonymousInnerClassLength_mean;Bugged;blame_merge_blame_getEffort_min;TotalNumberOfOperands;FileLength_std;blame_merge_blame_getVolume_max;blame_merge_blame_getDifficulty_std;blamemerge_blamegetVocabulary_max;blamemerge_blamegetDifficulty_max;AnonymousInnerClassLength_count;MethodLength_std;blame_merge_blame_getLength_min;blamemerge_blamegetLength_mean;blame_merge_blame_getEffort_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetEffort_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;blame_merge_blame_getLength_mean;blamemerge_blamegetEffort_std;blame_merge_blame_getVolume_min;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVolume_max;FileLength_25%;FileLength_mean;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_50%;blamemerge_blamegetVolume_count;blame_merge_blame_getVocabulary_count;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_mean;MethodLength_mean;blame_merge_blame_getVolume_count;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDifficulty_mean;TotalNumberOfOperators;FileLength_50%;blamemerge_blamegetLength_max;MethodLength_max;MethodLength_25%;Difficulty;blame_merge_blame_getEffort_max;blamemerge_blamegetVocabulary_std;AnonymousInnerClassLength_25%;blame_merge_blame_getVolume_mean;MethodLength_50%;blame_merge_blame_getEffort_count;blamemerge_blamegetVocabulary_count;AnonymousInnerClassLength_min;blamemerge_blamegetLength_count;blamemerge_blamegetEffort_count;blame_merge_blame_getVocabulary_mean;AnonymousInnerClassLength_max;FileLength_75%;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getLength_max;AnonymousInnerClassLength_std;blamemerge_blamegetEffort_mean;blame_merge_blame_getLength_count;blamemerge_blamegetDifficulty_std;blame_merge_blame_getDifficulty_min;Effort;MethodLength_count;NumberOfDistinctOperators;Volume;MethodLength_75%;Length;blame_merge_blame_getEffort_mean;Vocabulary;FileLength_max;blame_merge_blame_getVocabulary_min;blame_merge_blame_getLength_std;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_std;FileLength_count
16.0;0.0;0.0;False;0.0;287.0;103.94469683442249;0.0;0.0;18.0;5.5;2.0;50.20458146424488;0.0;4.904761904761905;0.0;0.0;481.626337666587;1.0408973113054745;0.0;0.0;83.24646927036314;0.0;0.0;104.2481250360578;36.75;73.5;0.0;0.0;147.0;0.0;23.023828594416386;0.0;15.301012615286567;51.5;0.0;100.0;147.0;0.0;434.0;73.5;26.0;87.0;33.75;45.92;0.0;4.754978655156738;0.0;0.0;51.5;0.0;147.0;0.0;147.0;147.0;0.0;0.0;110.25;4.217687074829932;0.0;0.0;42.5137327302306;0.0;1.3226401391103444;0.0;233228.0547098379;2.0;32.0;5079.008160057445;69.25;721.0;0.0;132.0;147.0;0.0;0.0;0.0;6.059446755040344;2.0
116.0;164.0;0.0;False;0.0;285.0;0.0;0.0;0.0;21.0;4.375;1.0;0.0;0.0;4.274390243902439;0.0;0.0;454.09804740112725;0.9271810506566605;0.0;0.0;55.0893106912653;0.0;0.0;105.41561814669028;164.0;164.0;0.0;0.0;164.0;0.0;17.043129686041006;0.0;12.407580380977896;116.0;0.0;99.0;164.0;0.0;416.0;164.0;24.0;116.0;116.0;43.18181818181818;0.0;4.040990592395485;0.0;0.0;116.0;0.0;164.0;0.0;164.0;164.0;0.0;0.0;164.0;3.7378048780487814;0.0;0.0;28.45208106234913;0.0;1.1560787650780042;0.0;212233.03594314161;1.0;30.0;4914.870306051701;116.0;701.0;0.0;129.0;164.0;0.0;0.0;0.0;4.9068953856081965;1.0
56.0;91.0;0.0;False;0.0;186.0;0.0;0.0;0.0;20.0;7.2;1.0;0.0;0.0;5.252747252747253;0.0;0.0;692.7223152360124;1.2109890109890111;0.0;0.0;112.76898853846123;0.0;0.0;138.30169903639558;91.0;91.0;0.0;0.0;91.0;0.0;24.19042032107337;0.0;16.560296777588547;56.0;0.0;63.0;91.0;0.0;292.0;91.0;32.0;56.0;56.0;42.80952380952381;0.0;4.735700795749455;0.0;0.0;56.0;0.0;91.0;0.0;91.0;91.0;0.0;0.0;91.0;4.43956043956044;0.0;0.0;52.001683997686726;0.0;1.5425552389817352;0.0;133491.33766098722;1.0;29.0;3118.262614995252;56.0;478.0;0.0;92.0;91.0;0.0;0.0;0.0;6.365869769662111;1.0
12.0;0.0;0.0;False;0.0;183.0;74.24621202458749;0.0;0.0;20.0;7.363636363636362;2.0;19.798989873223327;0.0;5.294478527607362;0.0;0.0;1082.0536339381633;1.0765662762595278;0.0;0.0;101.82143064582236;0.0;0.0;146.94555522617034;26.25;52.5;0.0;0.0;163.0;0.0;21.611781314908267;0.0;16.15758210243233;26.0;0.0;76.0;163.0;0.0;274.0;52.5;34.0;40.0;19.0;38.526315789473685;0.0;4.435958155745425;0.0;0.0;26.0;0.0;163.0;0.0;163.0;163.0;0.0;0.0;78.75;4.423312883435584;0.0;0.0;42.588612918880266;0.0;1.3017965788147148;0.0;118930.10456703855;2.0;32.0;3086.9835884887048;33.0;457.0;0.0;108.0;105.0;0.0;0.0;0.0;5.878326497530834;2.0
53.0;92.0;0.0;False;0.0;114.0;0.0;0.0;0.0;15.0;3.9375;1.0;0.0;0.0;3.6666666666666665;0.0;0.0;276.9008709637537;0.9040798611111112;0.0;0.0;40.09733672775876;0.0;0.0;70.32403072095333;92.0;92.0;0.0;0.0;144.0;0.0;13.864885620337233;0.0;9.667328057550657;53.0;0.0;51.0;144.0;0.0;178.0;92.0;18.0;53.0;53.0;26.823529411764717;0.0;3.4977445835448258;0.0;0.0;53.0;0.0;144.0;0.0;144.0;144.0;0.0;0.0;92.0;3.3680555555555562;0.0;0.0;21.8659683925406;0.0;1.1339223013662114;0.0;48787.039192759265;1.0;24.0;1818.8150576247967;53.0;292.0;0.0;75.0;92.0;0.0;0.0;0.0;4.057282152074029;1.0
47.0;85.0;0.0;False;0.0;193.0;0.0;0.0;0.0;18.0;6.0;1.0;0.0;0.0;5.684782608695652;0.0;0.0;515.0203179975429;1.292572463768116;0.0;0.0;99.8622984834637;0.0;0.0;114.44895955500952;85.0;85.0;0.0;0.0;92.0;0.0;24.0669092036264;0.0;18.31474471815618;47.0;0.0;75.0;92.0;0.0;281.0;85.0;28.0;47.0;47.0;37.31333333333333;0.0;4.913781238342784;0.0;0.0;47.0;0.0;92.0;0.0;92.0;92.0;0.0;0.0;85.0;4.826086956521738;0.0;0.0;53.86639028319117;0.0;1.5055095481514902;0.0;118507.46108369678;1.0;29.0;3176.008426398877;47.0;474.0;0.0;104.0;85.0;0.0;0.0;0.0;6.396993366265582;1.0
8.0;48.0;0.0;False;0.0;59.0;0.0;0.0;0.0;15.0;4.375;1.0;0.0;0.0;4.454545454545454;0.0;0.0;265.66856050137926;0.9704545454545456;0.0;0.0;98.86145572800676;0.0;0.0;66.41714012534482;48.0;48.0;0.0;0.0;55.0;0.0;24.938760890186767;0.0;15.41537609242945;8.0;0.0;29.0;55.0;0.0;67.0;48.0;17.0;8.0;8.0;17.293103448275858;0.0;5.693637538297324;0.0;0.0;8.0;0.0;55.0;0.0;55.0;55.0;0.0;0.0;48.0;3.9090909090909087;0.0;0.0;51.38907835596751;0.0;1.544659938821269;0.0;12035.460566940916;1.0;17.0;695.9688064631838;8.0;126.0;0.0;46.0;48.0;0.0;0.0;0.0;6.528621265083128;1.0
132.0;179.0;0.0;False;0.0;302.0;0.0;0.0;0.0;17.0;5.625;1.0;0.0;0.0;4.35754189944134;0.0;0.0;353.8545480472419;0.9972067039106144;0.0;0.0;56.159551667001494;0.0;0.0;77.66179398375645;179.0;179.0;0.0;0.0;179.0;0.0;16.72994118015298;0.0;12.697372178404427;132.0;0.0;97.0;179.0;0.0;478.0;179.0;20.0;132.0;132.0;46.701030927835035;0.0;4.049533241961076;0.0;0.0;132.0;0.0;179.0;0.0;179.0;179.0;0.0;0.0;179.0;3.832402234636872;0.0;0.0;30.992771597751197;0.0;1.2499266345929745;0.0;254575.4481674307;1.0;30.0;5451.17405568229;132.0;780.0;0.0;127.0;179.0;0.0;0.0;0.0;4.8789373718928335;1.0
29.0;0.0;0.0;False;0.0;411.0;127.27922061357857;0.0;0.0;21.0;6.6;2.0;43.84062043356594;0.0;6.537383177570093;0.0;0.0;642.3764230813937;1.5324998145675717;0.0;0.0;112.8996606107226;0.0;0.0;131.7695226833628;45.0;90.0;0.0;0.0;214.0;0.0;26.6056774871063;0.0;21.454371309537944;60.0;0.0;145.0;214.0;0.0;699.0;90.0;31.0;91.0;44.5;52.43793103448276;0.0;5.024814471761753;0.0;0.0;60.0;0.0;214.0;0.0;214.0;214.0;0.0;0.0;135.0;5.41588785046729;0.0;0.0;68.8493958002808;0.0;1.5793926353727363;0.0;436999.4714958164;2.0;37.0;8333.652050620552;75.5;1110.0;0.0;182.0;180.0;0.0;0.0;0.0;6.966452453491514;2.0
3.0;0.0;0.0;False;0.0;270.0;77.66666666666669;0.0;0.0;19.0;4.9;9.0;9.721111047611789;0.0;3.158125915080527;0.0;0.0;483.20175465420783;0.7646290873596877;0.0;0.0;50.73719478558236;0.0;0.0;127.43782540330757;0.0;25.88888888888889;0.0;0.0;683.0;0.0;15.890609810255842;0.0;8.766917743888557;12.0;0.0;113.0;683.0;0.0;475.0;0.0;30.0;33.0;3.0;46.59292035398229;0.0;3.6436014558902814;0.0;0.0;11.0;0.0;683.0;0.0;683.0;683.0;0.0;0.0;0.0;2.7979502196193264;0.0;0.0;21.080726077080666;0.0;1.1140658999940587;0.0;251588.0714771589;9.0;39.0;5399.705997515472;17.0;745.0;0.0;152.0;233.0;0.0;0.0;0.0;4.539969511888034;9.0
