WMC_CK_50%;WMC_CK_25%;WMC_CK_count;WMC_CK_75%;WMC_CK_std;NMIR;WMC_CK_mean;WMC_CK_min;NPM;DIT;WMC;NORM;NMI;NOCh;Bugged;WMC_CK_max
2.0;1.0;5.0;6.0;2.588435821108957;0.0;3.2;1.0;5.0;1.0;15.0;0.0;0.0;0.0;False;6.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;24.0;0.0;0.0;0.0;False;0.0
2.0;1.0;9.0;4.0;1.6666666666666663;0.0;2.555555555555556;1.0;5.0;1.0;24.0;0.0;0.0;0.0;False;5.0
18.0;18.0;1.0;18.0;0.0;0.0;18.0;18.0;11.0;1.0;45.0;0.0;0.0;0.0;True;18.0
4.0;4.0;1.0;4.0;0.0;0.0;4.0;4.0;11.0;1.0;45.0;0.0;0.0;0.0;True;4.0
2.0;1.0;11.0;2.5;1.8040358795061295;0.0;2.363636363636364;1.0;11.0;1.0;45.0;0.0;0.0;0.0;True;7.0
3.0;1.75;4.0;4.5;2.217355782608345;0.0;3.25;1.0;4.0;1.0;14.0;0.0;0.0;0.0;False;6.0
3.0;1.75;4.0;4.5;2.217355782608345;0.0;3.25;1.0;4.0;1.0;14.0;0.0;0.0;0.0;False;6.0
1.5;1.0;4.0;3.0;2.3804761428476167;0.0;2.5;1.0;4.0;1.0;11.0;0.0;0.0;0.0;False;6.0
1.5;1.0;4.0;3.0;2.3804761428476167;0.0;2.5;1.0;4.0;1.0;11.0;0.0;0.0;0.0;False;6.0
5.5;4.75;4.0;6.0;0.957427107756338;0.0;5.25;4.0;3.0;1.0;22.0;0.0;0.0;0.0;True;6.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;107.0;0.0;0.0;0.0;True;0.0
1.0;1.0;20.0;4.0;10.997607395295244;0.0;6.0;1.0;9.0;1.0;107.0;0.0;0.0;0.0;True;42.0
3.0;2.0;5.0;10.0;6.8044103344816;0.0;6.6;1.0;9.0;1.0;107.0;0.0;0.0;0.0;True;17.0
5.5;4.0;6.0;7.75;3.0166206257996717;0.0;5.5;1.0;4.0;1.0;30.0;0.0;0.0;0.0;False;9.0
2.0;2.0;5.0;4.0;2.7928480087537877;0.0;3.4;1.0;4.0;1.0;15.0;0.0;0.0;0.0;False;8.0
5.0;3.5;7.0;5.5;2.225394561056748;0.0;4.571428571428571;1.0;4.0;1.0;29.0;0.0;0.0;0.0;False;8.0
1.0;1.0;11.0;4.0;1.6624188291872668;0.0;2.1818181818181817;1.0;11.0;1.0;27.0;0.0;0.0;0.0;True;5.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;18.0;1.0;70.0;0.0;0.0;0.0;True;1.0
1.0;1.0;20.0;3.0;5.128609127136457;0.0;3.75;1.0;18.0;1.0;70.0;0.0;0.0;0.0;True;16.0
1.0;1.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;False;1.0
1.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;False;1.0
1.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;False;1.0
2.5;2.25;2.0;2.75;0.7071067811865476;0.0;2.5;2.0;11.0;1.0;19.0;0.0;0.0;0.0;False;3.0
1.0;1.0;14.0;2.0;0.8516306272526403;0.0;1.5714285714285714;1.0;11.0;1.0;19.0;0.0;0.0;0.0;False;4.0
1.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;11.0;1.0;19.0;0.0;0.0;0.0;False;1.0
2.0;2.0;5.0;2.0;1.095445115010332;0.0;2.2;1.0;11.0;1.0;19.0;0.0;0.0;0.0;False;4.0
2.5;2.0;4.0;3.0;0.5773502691896257;0.0;2.5;2.0;11.0;1.0;19.0;0.0;0.0;0.0;False;3.0
1.0;1.0;13.0;1.0;0.8320502943378437;0.0;1.2307692307692308;1.0;0.0;1.0;11.0;0.0;0.0;0.0;True;4.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;11.0;0.0;0.0;0.0;True;1.0
1.0;1.0;4.0;2.0;2.0;0.0;2.0;1.0;3.0;1.0;10.0;0.0;0.0;0.0;False;5.0
1.0;1.0;6.0;1.0;0.40824829046386296;0.0;1.1666666666666667;1.0;4.0;1.0;9.0;0.0;0.0;0.0;True;2.0
1.0;1.0;6.0;1.75;2.8047578623950176;0.0;2.333333333333333;1.0;4.0;1.0;16.0;0.0;0.0;0.0;False;8.0
2.0;2.0;1.0;2.0;0.0;0.0;2.0;2.0;2.0;1.0;6.0;0.0;0.0;0.0;True;2.0
3.0;3.0;1.0;3.0;0.0;0.0;3.0;3.0;2.0;1.0;6.0;0.0;0.0;0.0;True;3.0
2.0;1.0;12.0;2.0;0.9003366373785201;0.0;1.9166666666666667;1.0;12.0;1.0;25.0;0.0;0.0;0.0;True;4.0
1.0;1.0;4.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;6.0;0.0;0.0;0.0;False;1.0
1.0;1.0;4.0;2.0;2.0;0.0;2.0;1.0;3.0;1.0;10.0;0.0;0.0;0.0;False;5.0
1.0;1.0;8.0;1.0;0.0;0.0;1.0;1.0;5.0;1.0;10.0;0.0;0.0;0.0;False;1.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;False;1.0
1.0;1.0;4.0;1.75;1.5;0.0;1.75;1.0;3.0;1.0;9.0;0.0;0.0;0.0;False;4.0
1.0;1.0;5.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;7.0;0.0;0.0;0.0;False;1.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;False;1.0
1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;False;1.0
2.5;1.0;8.0;5.25;2.774243783705493;0.0;3.375;1.0;6.0;1.0;28.0;0.0;0.0;0.0;True;8.0
2.0;1.0;17.0;2.0;1.7760663739584404;0.0;2.176470588235294;1.0;12.0;1.0;35.0;0.0;0.0;0.0;True;7.0
1.0;1.0;8.0;10.25;5.012484413940856;0.0;4.625;1.0;1.0;1.0;34.0;0.0;0.0;0.0;False;11.0
1.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;6.0;0.0;0.0;0.0;False;1.0
1.0;1.0;71.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;71.0;0.0;0.0;0.0;False;1.0
1.0;1.0;15.0;1.5;0.990430401872025;0.0;1.5333333333333334;1.0;14.0;1.0;25.0;0.0;0.0;0.0;False;4.0
8.0;1.0;5.0;11.0;6.180614856144977;0.0;7.2;1.0;3.0;1.0;41.0;0.0;0.0;0.0;False;15.0
1.0;1.0;6.0;1.0;4.898979485566356;0.0;3.0;1.0;5.0;1.0;21.0;0.0;0.0;0.0;False;13.0
1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;6.0;1.0;22.0;0.0;0.0;0.0;False;1.0
2.5;2.25;2.0;2.75;0.7071067811865476;0.0;2.5;2.0;6.0;1.0;22.0;0.0;0.0;0.0;False;3.0
