IOVars_75%;blamemerge_blamegetDifficulty_count;IOVars_std;NCOMP_std;IOVars_50%;NCOMP_50%;blamemerge_blamegetDifficulty_mean;VG_max;NCOMP_25%;Fout_75%;NVAR_25%;blame_merge_blame_getDifficulty_count;blame_merge_blame_getDistinctOperandsCnt_min;blame_merge_blame_getDifficulty_mean;IOVars_25%;NumberOfDistinctOperators;Fout_min;NBD_mean;blame_merge_blame_getDistinctOperatorsCnt_count;NOP_min;MCLC_max;blame_merge_blame_getDistinctOperandsCnt_mean;MCLC_count;IOVars_mean;NVAR_mean;IOVars_max;Fout_count;MCLC_25%;Ci_50%;VG_25%;Ci_min;blame_merge_blame_getDistinctOperatorsCnt_mean;NBD_max;NCOMP_75%;Ci_mean;NVAR_50%;NOP_75%;ClTCi;NBD_count;Fin_std;Si_std;NOP_25%;VG_std;Ci_25%;Si_25%;NOP_50%;MCLC_std;Di_min;blamemerge_blamegetDifficulty_std;blamemerge_blamegetDistinctOperandsCnt_count;NBD_min;Fout_std;blamemerge_blamegetDistinctOperatorsCnt_std;Si_50%;blame_merge_blame_getDistinctOperatorsCnt_std;NVAR_max;NCOMP_max;IOVars_min;ClRCi;Di_50%;NumberOfDistinctOperands;MCLC_min;NVAR_75%;Di_mean;blame_merge_blame_getDifficulty_max;IOVars_count;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperandsCnt_count;blame_merge_blame_getDistinctOperandsCnt_std;Di_75%;blame_merge_blame_getDistinctOperatorsCnt_min;NCOMP_min;Ci_max;Fin_min;Ci_count;blamemerge_blamegetDistinctOperatorsCnt_max;Di_25%;VG_75%;MCLC_50%;Fout_50%;NCOMP_count;blame_merge_blame_getDifficulty_std;blame_merge_blame_getDistinctOperandsCnt_max;Fin_max;Fin_50%;Si_75%;NVAR_std;VG_count;NOP_std;Ci_75%;Fout_mean;Fin_25%;Di_max;Bugged;NVAR_count;blamemerge_blamegetDistinctOperatorsCnt_mean;NBD_25%;NOP_mean;blamemerge_blamegetDistinctOperandsCnt_max;VG_mean;blame_merge_blame_getDifficulty_min;Fout_25%;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDistinctOperatorsCnt_max;Fin_75%;Fin_count;Si_count;Si_min;NOP_count;Ci_std;blamemerge_blamegetDistinctOperandsCnt_mean;Si_max;NBD_50%;NVAR_min;VG_min;Si_mean;blamemerge_blamegetDistinctOperandsCnt_std;NCOMP_mean;Difficulty;NOPa;MCLC_mean;NBD_75%;Fout_max;Fin_mean;NBD_std;Di_std;VG_50%;Di_count;MCLC_75%;NOP_max
0.0;22.0;0.0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21320071635561044;22.0;0.0;0.0;0.4264014327112209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.09090909090909093;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;1.2792042981336629;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;22.0;0.0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21320071635561044;22.0;0.0;0.0;0.4264014327112209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.09090909090909093;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2272727272727273;0.0;0.0;0.0;0.0;0.0;1.0660035817780522;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;65.0;0.0;0.0;0.0;0.0;0.09230769230769233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2917124506190194;65.0;0.0;0.0;0.6193979707375914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.26153846153846155;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2461538461538461;0.0;0.0;0.0;0.0;0.0;0.9019210267321294;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;3956.0;0.0;0.0;0.0;0.0;1.0271739130434785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0994572623085173;3956.0;0.0;0.0;2.169508317269537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.0;0.0;0.0;0.0;0.0;0.0;3956.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;2.108695652173913;0.0;0.0;8.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4347826086956523;0.0;0.0;0.0;0.0;0.0;2.568119920767841;0.0;15.794871794871796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.75;4128.0;0.7071067811865476;2.8284271247461903;1.5;2.0;1.101128472222222;3.0;1.0;0.0;0.5;0.0;0.0;0.0;1.25;24.0;0.0;1.5;0.0;1.0;6.0;0.0;2.0;1.5;1.0;2.0;2.0;1.5;1.5;1.5;1.0;0.0;2.0;3.0;1.5;1.0;1.75;8.0;2.0;0.0;0.0;1.25;1.4142135623730951;1.25;0.0;1.5;4.242640687119285;1.0;1.4175753302827137;4128.0;1.0;0.0;2.455605440973396;0.0;0.0;2.0;4.0;1.0;2.666666667;1.5;85.0;0.0;1.5;1.5;0.0;2.0;4128.0;0.0;0.0;1.75;0.0;0.0;2.0;0.0;2.0;9.0;1.25;2.5;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.4142135623730951;2.0;0.7071067811865476;1.75;0.0;0.0;2.0;False;2.0;2.052083333333333;1.25;1.5;9.0;2.0;0.0;0.0;4.666666666666667;0.0;0.0;2.0;2.0;0.0;2.0;0.7071067811865476;2.46875;0.0;1.5;0.0;1.0;0.0;2.9049212836431266;2.0;34.588235294117645;0.0;3.0;1.75;0.0;0.0;0.7071067811865476;0.7071067811865476;2.0;2.0;4.5;2.0
3.5;2210.0;1.707825127659933;0.957427107756338;2.5;0.5;1.0719747899159664;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;27.0;0.0;1.5;0.0;1.0;3.0;0.0;4.0;2.75;0.5;5.0;4.0;0.0;2.5;1.0;1.0;0.0;2.0;1.25;2.75;0.5;3.5;17.0;4.0;0.0;0.0;1.0;0.5773502691896257;1.75;0.0;2.0;1.5;1.0;1.3379609429094692;2210.0;1.0;0.0;2.2988270394260844;0.0;0.0;1.0;2.0;1.0;3.4;2.5;137.0;0.0;1.0;2.75;0.0;4.0;2210.0;0.0;0.0;3.5;0.0;0.0;5.0;0.0;4.0;9.0;1.75;2.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896257;4.0;1.914854215512676;3.5;0.0;0.0;5.0;False;4.0;2.011764705882353;1.0;2.5;11.0;1.5;0.0;0.0;5.785714285714287;0.0;0.0;4.0;4.0;0.0;4.0;1.707825127659933;2.547058823529412;0.0;1.5;0.0;1.0;0.0;2.8848118441846595;0.75;44.24452554744526;0.0;1.25;2.0;0.0;0.0;0.5773502691896257;1.707825127659933;1.5;4.0;2.25;5.0
0.0;946.0;0.0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2084090771399928;946.0;0.0;0.0;0.4168181542799855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;946.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.09090909090909093;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;1.2504544628399563;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;80.0;0.5;0.5;1.0;0.0;0.9208333333333334;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;23.0;0.0;1.25;0.0;0.0;1.0;0.0;4.0;0.75;0.25;1.0;4.0;0.0;1.0;1.0;0.0;0.0;2.0;0.25;0.75;0.0;0.25;5.0;4.0;0.0;0.0;0.0;0.5;0.75;0.0;0.0;0.5773502691896257;0.0;1.1930338709185633;80.0;1.0;0.0;2.26643086388257;0.0;0.0;1.0;1.0;0.0;1.0;1.0;76.0;0.0;0.25;0.75;0.0;4.0;80.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;8.0;0.75;1.25;0.5;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.5;4.0;0.5;1.0;0.0;0.0;1.0;False;4.0;1.95;1.0;0.25;11.0;1.25;0.0;0.0;4.666666666666667;0.0;0.0;4.0;4.0;0.0;4.0;0.5;1.9625;0.0;1.0;0.0;1.0;0.0;2.635895111337832;0.25;23.907894736842106;0.0;0.5;1.25;0.0;0.0;0.5;0.5;1.0;4.0;1.0;1.0
2.0;0.0;1.0488088481701516;0.40824829046386296;1.5;0.0;0.0;4.0;0.0;0.0;0.25;0.0;0.0;0.0;1.0;24.0;0.0;1.6666666666666667;0.0;0.0;3.0;0.0;6.0;1.5;1.3333333333333333;3.0;6.0;1.0;1.5;1.25;0.0;0.0;2.0;0.0;1.5;1.5;2.0;12.0;6.0;0.0;0.0;0.25;1.2110601416389968;1.0;0.0;1.5;1.0488088481701516;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.714285714;1.5;83.0;0.0;2.0;1.5;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;6.0;0.0;1.0;3.0;1.5;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.2110601416389968;6.0;1.2110601416389968;2.0;0.0;0.0;3.0;False;6.0;0.0;1.25;1.3333333333333333;0.0;2.333333333333333;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;6.0;1.0488088481701516;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.16666666666666666;51.180722891566255;0.0;1.5;2.0;0.0;0.0;0.5163977794943223;1.0488088481701516;2.5;6.0;2.0;3.0
1.0;81.0;0.3779644730092273;0.3779644730092273;1.0;0.0;0.7736625514403292;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;0.8571428571428571;0.0;1.0;7.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.8571428571428571;0.0;0.0;8.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3779644730092273;0.0;1.085673319616586;81.0;1.0;0.0;2.0573565683621093;0.0;0.0;0.0;1.0;0.0;1.0;1.0;54.0;0.0;0.0;0.8571428571428571;0.0;7.0;81.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;8.0;1.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;1.0;False;7.0;1.6419753086419753;1.0;0.0;10.0;1.0;0.0;0.0;4.666666666666667;0.0;0.0;7.0;7.0;0.0;7.0;0.3779644730092273;1.6543209876543212;0.0;1.0;0.0;1.0;0.0;2.2313700602273507;0.14285714285714285;25.0;0.0;0.14285714285714285;1.0;0.0;0.0;0.0;0.3779644730092273;1.0;7.0;0.0;0.0
