NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfPrivateAttributes;Bugged;NumberOfAttributes;NumberOfPolymorphicMethods;NumberOfAncestors;NumberOfCoupledClasses;Cohesion;NumberPublicMethods;NumberOfInheritedMethods;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfPublicAttributes
0.0;1.0;0.0;False;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;1.0;1.0;False;1.0;0.0;0.0;2.0;0.6136363636363636;9.0;0.0;11.0;0.0;0.0
0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
0.0;0.0;1.0;False;2.0;0.0;0.0;0.0;0.25;3.0;0.0;4.0;0.0;1.0
0.0;0.0;0.0;False;0.0;7.0;0.0;1.0;0.25;4.0;0.0;7.0;0.0;0.0
0.0;0.0;0.0;True;1.0;0.0;0.0;0.0;0.26666666666666666;15.0;0.0;15.0;0.0;1.0
0.0;2.0;6.0;False;6.0;6.0;0.0;3.0;0.20454545454545456;5.0;0.0;11.0;0.0;0.0
0.0;2.0;6.0;False;6.0;6.0;0.0;3.0;0.20454545454545456;5.0;0.0;11.0;0.0;0.0
0.0;2.0;6.0;False;6.0;6.0;0.0;3.0;0.20454545454545456;5.0;0.0;11.0;0.0;0.0
0.0;0.0;1.0;False;1.0;7.0;0.0;2.0;0.38461538461538464;2.0;0.0;13.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;1.0;3.0;False;3.0;10.0;0.0;3.0;0.08333333333333333;3.0;0.0;36.0;0.0;0.0
0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;0.19166666666666668;1.0;0.0;12.0;0.0;0.0
0.0;0.0;1.0;False;1.0;2.0;0.0;0.0;0.5;1.0;0.0;2.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;6.0;False;6.0;6.0;0.0;0.0;0.16666666666666666;6.0;0.0;6.0;0.0;0.0
0.0;0.0;1.0;False;2.0;0.0;0.0;1.0;0.625;4.0;0.0;4.0;0.0;1.0
0.0;0.0;1.0;False;1.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
0.0;0.0;3.0;False;3.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0
