WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
2.0;1.0;7.0;0.0;2.0;0.0;7.0;11.0;0.0;0.0;False;1.5714285714285714;2.0;1.0;1.0;0.5345224838248488
2.0;1.0;14.0;0.0;1.0;0.0;13.0;20.0;0.0;0.0;True;1.7857142857142858;5.0;1.0;1.0;1.3114039117603014
1.0;1.0;5.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;15.0;0.0;1.0;0.0;13.0;29.0;0.0;0.0;False;1.8666666666666667;12.0;1.0;1.0;2.825057942937168
2.0;1.0;9.0;0.0;2.0;0.0;9.0;12.0;0.0;0.0;False;1.8888888888888888;3.0;1.0;1.0;0.7817359599705717
5.0;5.0;1.0;0.0;5.0;0.0;23.0;43.0;0.0;0.0;True;5.0;5.0;5.0;1.0;0.0
1.5;1.0;23.0;0.0;1.0;0.0;23.0;43.0;0.0;0.0;True;1.6956521739130437;6.0;1.0;1.0;1.4904173487710703
3.25;1.0;12.0;0.0;1.0;0.0;8.0;27.0;0.0;0.0;False;2.4166666666666665;7.0;1.0;1.0;2.151461800448216
2.0;1.0;9.0;0.0;1.0;0.0;9.0;15.0;0.0;0.0;False;1.8888888888888888;5.0;1.0;1.0;1.3642254619787415
2.0;1.0;8.0;0.0;1.0;0.0;8.0;11.0;0.0;0.0;False;1.375;2.0;1.0;1.0;0.5175491695067657
5.0;3.0;3.0;0.0;4.0;0.0;3.0;10.0;0.0;0.0;False;4.0;6.0;2.0;1.0;2.0
2.5;1.0;8.0;0.0;2.0;0.0;6.0;18.0;0.0;0.0;False;2.625;8.0;1.0;1.0;2.38671920665766
2.0;1.0;13.0;0.0;1.0;0.0;13.0;23.0;0.0;0.0;False;1.7692307692307692;4.0;1.0;1.0;1.1657505560686463
1.0;1.0;12.0;0.0;1.0;0.0;12.0;13.0;0.0;0.0;False;1.0833333333333333;2.0;1.0;1.0;0.2886751345948129
1.0;1.0;6.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
2.0;1.0;16.0;0.0;1.0;0.0;14.0;25.0;0.0;0.0;False;1.625;7.0;1.0;1.0;1.5
2.0;1.0;9.0;0.0;1.0;0.0;9.0;11.0;0.0;0.0;False;1.3333333333333333;2.0;1.0;1.0;0.5
2.0;1.0;13.0;0.0;1.0;0.0;13.0;19.0;0.0;0.0;False;1.6153846153846154;4.0;1.0;1.0;0.869718492622904
