LOCMethod_CK_min;LOCMethod_min;LOCMethod_count;NumberOfParameters_Designite_count;NumberOfParameters_Designite_75%;LOCMethod_50%;NumberOfParameters_Designite_std;LOCMethod_max;CyclomaticComplexity_Designite_count;LOCMethod_std;LOCMethod;CyclomaticComplexity_Designite_std;LOCMethod_CK_mean;CyclomaticComplexity_Designite_max;LOCMethod_CK_max;NumberOfParameters_Designite_50%;Bugged;CyclomaticComplexity_Designite_75%;LOCMethod_CK_50%;LOCMethod_CK_count;CyclomaticComplexity_Designite_min;NumberOfParameters_Designite_min;LOCMethod_CK_std;LOCMethod_25%;CyclomaticComplexity_Designite_25%;NumberOfParameters_Designite_25%;LOCMethod_mean;NumberOfParameters_Designite_mean;NumberOfParameters_Designite_max;LOCMethod_CK_75%;CyclomaticComplexity_Designite_50%;LOCMethod_CK_25%;LOCMethod_75%;CyclomaticComplexity_Designite_mean
1.0;0.0;8.0;8.0;1.0;0.0;0.3535533905932738;0.0;8.0;0.0;14.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;8.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.875;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;7.0;7.0;1.0;0.0;0.3779644730092273;0.0;7.0;0.0;13.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;7.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8571428571428571;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;1.0;1.0;1.0;0.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;3.0;3.0;1.0;0.0;0.0;0.0;3.0;0.0;26.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;24.0;24.0;1.0;0.0;0.3378319623460881;0.0;24.0;0.0;37.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;23.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.875;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;11.0;11.0;1.0;0.0;0.4670993664969138;0.0;11.0;0.0;89.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;12.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.7272727272727273;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;14.0;0.0;1.0;1.0;1.0;3.0;False;1.0;1.0;2.0;1.0;3.0;0.0;0.0;1.0;3.0;0.0;3.0;3.0;1.0;1.0;1.0;0.0;1.0
