AnonymousInnerClassLength_count;AnonymousInnerClassLength_25%;blamemerge_blamegetVocabulary_max;FileLength_50%;FileLength_mean;blame_merge_blame_getVolume_count;FileLength_min;blamemerge_blamegetEffort_mean;blamemerge_blamegetLength_mean;Difficulty;blame_merge_blame_getVocabulary_mean;MethodLength_std;blame_merge_blame_getLength_max;Bugged;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_std;Vocabulary;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetEffort_count;blame_merge_blame_getVolume_mean;blame_merge_blame_getEffort_max;Volume;AnonymousInnerClassLength_min;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_mean;MethodLength_count;blamemerge_blamegetLength_count;blamemerge_blamegetDifficulty_count;blamemerge_blamegetVocabulary_std;FileLength_25%;FileLength_max;blame_merge_blame_getDifficulty_count;blame_merge_blame_getVocabulary_count;blame_merge_blame_getLength_mean;FileLength_std;blame_merge_blame_getLength_min;blame_merge_blame_getVolume_max;blame_merge_blame_getDifficulty_min;blame_merge_blame_getLength_count;blame_merge_blame_getEffort_std;NumberOfDistinctOperands;AnonymousInnerClassLength_max;blamemerge_blamegetVolume_count;blame_merge_blame_getVolume_std;blamemerge_blamegetEffort_std;AnonymousInnerClassLength_std;AnonymousInnerClassLength_mean;TotalNumberOfOperators;blame_merge_blame_getVolume_min;AnonymousInnerClassLength_75%;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVocabulary_count;AnonymousInnerClassLength_50%;blamemerge_blamegetLength_std;MethodLength_25%;blamemerge_blamegetVolume_std;MethodLength_mean;TotalNumberOfOperands;MethodLength_max;Effort;NumberOfDistinctOperators;MethodLength_min;blamemerge_blamegetDifficulty_std;blame_merge_blame_getEffort_mean;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;FileLength_75%;blame_merge_blame_getLength_std;FileLength_count;blame_merge_blame_getVocabulary_min;blamemerge_blamegetVolume_max;Length;MethodLength_75%;blame_merge_blame_getEffort_min;blame_merge_blame_getEffort_count;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_max;MethodLength_50%
41.0;0.0;19.0;0.0;14.731707317073171;0.0;0.0;21.597961325759385;2.236754966887417;71.81612903225806;0.0;5.585259345027724;0.0;True;0.0;0.0;196.0;0.5294025281194155;604.0;0.0;0.0;10287.472999399646;0.0;6.989202338991547;1.9470198675496688;41.0;604.0;604.0;3.839289043275276;0.0;604.0;0.0;0.0;0.0;94.32895218071803;0.0;0.0;0.0;0.0;0.0;155.0;16.0;604.0;0.0;67.35199694610826;2.8974336836620638;0.8292682926829268;808.0;0.0;0.0;0.0;604.0;0.0;4.716356641136588;0.0;17.051882731542776;3.1707317073170733;543.0;25.0;738806.4883407558;41.0;0.0;1.1520151330949688;0.0;0.0;7.5;0.0;0.0;0.0;41.0;0.0;118.9419703764204;1351.0;3.0;0.0;0.0;588.7627533632809;29.0;3.0
5.0;0.0;19.0;0.0;0.0;0.0;0.0;21.597961325759385;2.236754966887417;71.81612903225806;0.0;0.0;0.0;True;0.0;0.0;196.0;0.5294025281194155;604.0;0.0;0.0;10287.472999399646;0.0;6.989202338991547;1.9470198675496688;5.0;604.0;604.0;3.839289043275276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.0;0.0;604.0;0.0;67.35199694610826;0.0;0.0;808.0;0.0;0.0;0.0;604.0;0.0;4.716356641136588;0.0;17.051882731542776;0.0;543.0;0.0;738806.4883407558;41.0;0.0;1.1520151330949688;0.0;0.0;7.5;0.0;0.0;0.0;5.0;0.0;118.9419703764204;1351.0;0.0;0.0;0.0;588.7627533632809;29.0;0.0
1.0;0.0;19.0;0.0;0.0;0.0;0.0;21.597961325759385;2.236754966887417;71.81612903225806;0.0;0.0;0.0;True;0.0;0.0;196.0;0.5294025281194155;604.0;0.0;0.0;10287.472999399646;0.0;6.989202338991547;1.9470198675496688;1.0;604.0;604.0;3.839289043275276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.0;0.0;604.0;0.0;67.35199694610826;0.0;0.0;808.0;0.0;0.0;0.0;604.0;0.0;4.716356641136588;3.0;17.051882731542776;3.0;543.0;3.0;738806.4883407558;41.0;3.0;1.1520151330949688;0.0;0.0;7.5;0.0;0.0;0.0;1.0;0.0;118.9419703764204;1351.0;3.0;0.0;0.0;588.7627533632809;29.0;3.0
1.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;1.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;3.0;15.739568179283292;3.0;725.0;3.0;1368910.8417550416;37.0;3.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;1.0;0.0;92.0;1925.0;3.0;0.0;0.0;532.2857142857142;23.0;3.0
0.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;0.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;0.0;15.739568179283292;0.0;725.0;0.0;1368910.8417550416;37.0;0.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;0.0;0.0;92.0;1925.0;0.0;0.0;0.0;532.2857142857142;23.0;0.0
1.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;1.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;3.0;15.739568179283292;3.0;725.0;3.0;1368910.8417550416;37.0;3.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;1.0;0.0;92.0;1925.0;3.0;0.0;0.0;532.2857142857142;23.0;3.0
0.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;0.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;0.0;15.739568179283292;0.0;725.0;0.0;1368910.8417550416;37.0;0.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;0.0;0.0;92.0;1925.0;0.0;0.0;0.0;532.2857142857142;23.0;0.0
0.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;0.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;0.0;15.739568179283292;0.0;725.0;0.0;1368910.8417550416;37.0;0.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;0.0;0.0;92.0;1925.0;0.0;0.0;0.0;532.2857142857142;23.0;0.0
0.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;0.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;0.0;15.739568179283292;0.0;725.0;0.0;1368910.8417550416;37.0;0.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;0.0;0.0;92.0;1925.0;0.0;0.0;0.0;532.2857142857142;23.0;0.0
0.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;0.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;0.0;15.739568179283292;0.0;725.0;0.0;1368910.8417550416;37.0;0.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;0.0;0.0;92.0;1925.0;0.0;0.0;0.0;532.2857142857142;23.0;0.0
17.0;0.0;16.0;0.0;39.411764705882355;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;4.746515749969222;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;17.0;670.0;670.0;3.834029971745398;0.0;670.0;0.0;0.0;0.0;162.49886877434312;0.0;0.0;0.0;0.0;0.0;141.0;6.0;670.0;0.0;54.075369306219905;1.4552137502179978;0.35294117647058826;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;3.0;15.739568179283292;8.176470588235292;725.0;16.0;1368910.8417550416;37.0;3.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;17.0;0.0;92.0;1925.0;11.0;0.0;0.0;532.2857142857142;23.0;7.0
1.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;1.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;3.0;15.739568179283292;3.0;725.0;3.0;1368910.8417550416;37.0;3.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;1.0;0.0;92.0;1925.0;3.0;0.0;0.0;532.2857142857142;23.0;3.0
1.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;1.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;3.0;15.739568179283292;3.0;725.0;3.0;1368910.8417550416;37.0;3.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;1.0;0.0;92.0;1925.0;3.0;0.0;0.0;532.2857142857142;23.0;3.0
2.0;0.0;16.0;0.0;0.0;0.0;0.0;23.20330291946989;2.873134328358209;95.12411347517731;0.0;0.0;0.0;True;0.0;0.0;178.0;0.7103695806680882;670.0;0.0;0.0;14390.786854610315;0.0;8.482597894519062;2.544776119402985;2.0;670.0;670.0;3.834029971745398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;141.0;0.0;670.0;0.0;54.075369306219905;0.0;0.0;1200.0;0.0;0.0;0.0;670.0;0.0;4.6230423753250935;3.0;15.739568179283292;3.0;725.0;3.0;1368910.8417550416;37.0;3.0;1.1963576650642014;0.0;0.0;5.785714285714287;0.0;0.0;0.0;2.0;0.0;92.0;1925.0;3.0;0.0;0.0;532.2857142857142;23.0;3.0
