Bugged;NPF;NSF;PMd;NOA;NOD;ClTCi;NSM;RTLOC;TLOC;ClRCi;NOL
False;0.0;0.0;3.0;0.0;0.0;5.0;0.0;42.0;23.0;1.666666667;0.0
False;0.0;1.0;3.0;0.0;0.0;16.0;0.0;190.0;85.0;2.0;0.0
False;1.0;1.0;3.0;0.0;1.0;11.0;0.0;68.0;27.0;2.75;0.0
False;1.0;1.0;3.0;0.0;1.0;11.0;0.0;68.0;27.0;2.75;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;227.0;120.0;0.0;0.0
False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;227.0;120.0;0.0;0.0
False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;227.0;120.0;0.0;0.0
False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;227.0;120.0;0.0;0.0
False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;227.0;120.0;0.0;0.0
False;0.0;1.0;3.0;0.0;0.0;9.0;3.0;80.0;38.0;3.0;0.0
False;0.0;1.0;3.0;0.0;0.0;9.0;3.0;80.0;38.0;3.0;0.0
False;0.0;0.0;3.0;0.0;0.0;5.0;0.0;69.0;41.0;1.666666667;0.0
False;0.0;0.0;7.0;0.0;0.0;52.285714286;0.0;128.0;70.0;4.021978022;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
False;0.0;2.0;19.0;0.0;0.0;36.0;5.0;379.0;245.0;1.384615385;0.0
