NumberOfAncestors;NumberPublicMethods;NumberOfInheritedMethods;NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfPolymorphicMethods;Cohesion;NumberOfAttributes;Bugged;NumberOfPrivateAttributes;NumberOfPublicAttributes;NumberOfCoupledClasses;NumberOfProtectedAttributes
0.0;14.0;0.0;3.0;0.0;14.0;5.0;0.16071428571428573;3.0;False;0.0;1.0;0.0;2.0
0.0;14.0;0.0;3.0;0.0;14.0;5.0;0.16071428571428573;3.0;False;0.0;1.0;0.0;2.0
0.0;14.0;0.0;3.0;0.0;14.0;5.0;0.16071428571428573;3.0;False;0.0;1.0;0.0;2.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;5.0;5.0;0.5;1.0;False;1.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.375;1.0;False;1.0;0.0;0.0;0.0
0.0;6.0;0.0;0.0;0.0;9.0;0.0;0.2777777777777778;4.0;True;4.0;0.0;0.0;0.0
0.0;6.0;0.0;0.0;0.0;9.0;0.0;0.2777777777777778;4.0;True;4.0;0.0;0.0;0.0
0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.3333333333333333;1.0;False;1.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.4166666666666667;1.0;False;1.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.4166666666666667;1.0;False;1.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;1.0;3.0;3.0;0.0;1.0;False;1.0;0.0;1.0;0.0
0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.35;1.0;False;1.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.35;1.0;False;1.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;7.0;0.0;0.3809523809523809;4.0;False;4.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;7.0;0.0;0.3809523809523809;4.0;False;4.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;13.0;0.0;0.35897435897435903;7.0;True;6.0;0.0;0.0;1.0
0.0;11.0;0.0;0.0;0.0;13.0;0.0;0.35897435897435903;7.0;True;6.0;0.0;0.0;1.0
0.0;11.0;0.0;0.0;0.0;13.0;0.0;0.35897435897435903;7.0;True;6.0;0.0;0.0;1.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.375;3.0;False;3.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.4166666666666667;3.0;False;3.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.4166666666666667;2.0;False;2.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.4166666666666667;2.0;False;2.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.5;2.0;True;2.0;0.0;0.0;0.0
0.0;12.0;0.0;0.0;2.0;12.0;0.0;0.16666666666666666;12.0;True;12.0;0.0;1.0;0.0
0.0;12.0;0.0;0.0;2.0;12.0;0.0;0.16666666666666666;12.0;True;12.0;0.0;1.0;0.0
0.0;12.0;0.0;0.0;2.0;12.0;0.0;0.16666666666666666;12.0;True;12.0;0.0;1.0;0.0
