Bugged;MHF;MIF;Aa;AIF;AHF
False;0.2;0.0;9.0;0.0;0.111111111
False;0.9375;0.0;1.0;0.0;0.0
False;1.0;0.0;1.0;0.0;1.0
False;1.0;0.0;2.0;0.0;1.0
False;0.0;0.0;1.0;0.0;0.0
False;0.0;0.0;1.0;0.0;0.0
False;0.875;0.0;3.0;0.0;0.0
False;0.466666667;0.0;7.0;0.0;0.0
False;0.466666667;0.0;7.0;0.0;0.0
False;0.607142857;0.0;27.0;0.0;0.8888888890000001
False;0.607142857;0.0;27.0;0.0;0.8888888890000001
False;0.607142857;0.0;27.0;0.0;0.8888888890000001
False;0.607142857;0.0;27.0;0.0;0.8888888890000001
