NumberOfInheritedMethods;NumberOfSubclasses;NumberOfCoupledClasses;Bugged;NumberOfMethods_Mood;NumberUserDefinedAttributes;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfAncestors;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;Cohesion
0.0;0.0;3.0;False;19.0;7.0;0.0;13.0;0.0;13.0;0.0;2.0;2.0;0.16842105263157894
0.0;0.0;3.0;False;19.0;7.0;0.0;13.0;0.0;13.0;0.0;2.0;2.0;0.16842105263157894
0.0;0.0;3.0;False;19.0;7.0;0.0;13.0;0.0;13.0;0.0;2.0;2.0;0.16842105263157894
0.0;0.0;3.0;False;19.0;7.0;0.0;13.0;0.0;13.0;0.0;2.0;2.0;0.16842105263157894
0.0;0.0;0.0;False;7.0;0.0;0.0;9.0;0.0;9.0;0.0;4.0;2.0;0.3035714285714285
0.0;0.0;0.0;False;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;6.0;0.0;0.0;8.0;0.0;8.0;0.0;2.0;2.0;0.3666666666666665
0.0;0.0;0.0;False;9.0;0.0;0.0;9.0;0.0;9.0;0.0;2.0;2.0;0.3888888888888889
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;4.0;0.0;0.0;4.0;0.0;4.0;0.0;2.0;2.0;0.4642857142857143
0.0;0.0;0.0;False;4.0;0.0;0.0;4.0;0.0;4.0;0.0;2.0;2.0;0.4642857142857143
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;3.0;0.0;0.0;7.0;0.0;7.0;0.0;1.0;1.0;0.6296296296296297
0.0;0.0;0.0;False;3.0;0.0;1.0;8.0;0.0;9.0;0.0;1.0;1.0;0.6296296296296297
0.0;0.0;0.0;False;2.0;0.0;0.0;3.0;0.0;4.0;1.0;1.0;1.0;0.75
0.0;0.0;0.0;False;2.0;0.0;0.0;3.0;0.0;4.0;1.0;1.0;1.0;0.75
0.0;0.0;0.0;False;25.0;2.0;0.0;7.0;0.0;7.0;0.0;25.0;24.0;0.112
0.0;0.0;0.0;False;14.0;0.0;1.0;14.0;0.0;15.0;0.0;4.0;6.0;0.15873015873015872
0.0;0.0;1.0;False;4.0;1.0;0.0;3.0;0.0;3.0;0.0;3.0;4.0;0.4375
