NumberOfPublicAttributes;Bugged;NumberOfPrivateAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfAncestors;NumberOfAttributes;NumberOfPolymorphicMethods;Cohesion;NumberOfCoupledClasses;NumberOfSubclasses;NumberOfProtectedAttributes
3.0;False;5.0;0.0;12.0;2.0;19.0;0.0;11.0;16.0;0.13157894736842105;1.0;0.0;3.0
3.0;False;5.0;0.0;12.0;2.0;19.0;0.0;11.0;16.0;0.13157894736842105;1.0;0.0;3.0
3.0;False;2.0;0.0;26.0;0.0;26.0;0.0;5.0;26.0;0.40384615384615385;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;False;10.0;0.0;7.0;0.0;8.0;0.0;15.0;0.0;0.375;0.0;0.0;0.0
2.0;False;9.0;0.0;12.0;0.0;16.0;0.0;11.0;13.0;0.075;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;2.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
0.0;False;1.0;0.0;4.0;0.0;4.0;0.0;1.0;4.0;0.3125;0.0;0.0;0.0
1.0;False;4.0;0.0;4.0;0.0;4.0;0.0;5.0;4.0;0.0;0.0;0.0;0.0
0.0;False;2.0;0.0;2.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;6.0;0.0;5.0;0.0;5.0;0.0;6.0;0.0;0.3;0.0;0.0;0.0
0.0;False;5.0;0.0;7.0;0.0;7.0;0.0;5.0;0.0;0.3333333333333333;0.0;0.0;0.0
3.0;False;1.0;0.0;5.0;0.0;6.0;0.0;4.0;0.0;0.25;0.0;0.0;0.0
0.0;False;1.0;0.0;4.0;0.0;5.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0
0.0;False;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
0.0;False;1.0;0.0;2.0;0.0;2.0;0.0;1.0;2.0;0.5;0.0;0.0;0.0
0.0;False;4.0;0.0;5.0;0.0;5.0;0.0;4.0;0.0;0.3;0.0;0.0;0.0
0.0;False;1.0;0.0;3.0;0.0;3.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.0
1.0;False;0.0;0.0;9.0;0.0;9.0;0.0;1.0;0.0;0.3111111111111111;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;8.0;0.0;28.0;1.0;30.0;0.0;9.0;24.0;0.1;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;1.0;0.0;4.0;0.0;4.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;False;1.0;0.0;40.0;0.0;43.0;0.0;8.0;42.0;0.16279069767441862;0.0;0.0;3.0
0.0;False;0.0;0.0;70.0;0.0;79.0;0.0;0.0;68.0;0.16817359855334538;0.0;0.0;0.0
18.0;False;1.0;0.0;1.0;0.0;1.0;0.0;19.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.0;False;0.0;0.0;5.0;0.0;5.0;0.0;38.0;0.0;1.0;0.0;0.0;0.0
0.0;False;4.0;0.0;8.0;0.0;8.0;0.0;4.0;0.0;0.375;0.0;0.0;0.0
4.0;False;5.0;0.0;13.0;0.0;13.0;0.0;9.0;0.0;0.1282051282051282;0.0;0.0;0.0
0.0;False;1.0;0.0;4.0;0.0;4.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0
0.0;False;3.0;0.0;4.0;0.0;4.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0
0.0;False;4.0;0.0;6.0;0.0;6.0;0.0;4.0;6.0;0.3333333333333333;0.0;0.0;0.0
4.0;False;0.0;0.0;3.0;3.0;3.0;0.0;4.0;3.0;0.3333333333333333;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;7.0;0.0;0.0;3.0;0.25;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;1.0;0.0;4.0;0.0;4.0;0.0;2.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;18.0;0.0;37.0;0.0;47.0;0.0;18.0;37.0;0.09787234042553193;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;6.0;0.0;10.0;0.0;10.0;0.0;6.0;10.0;0.1;0.0;0.0;0.0
1.0;False;4.0;0.0;16.0;0.0;19.0;0.0;7.0;11.0;0.10526315789473684;0.0;0.0;2.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;1.0;0.0;3.0;0.0;4.0;0.0;2.0;2.0;0.3333333333333333;0.0;0.0;0.0
14.0;False;1.0;0.0;11.0;0.0;14.0;0.0;16.0;13.0;0.16666666666666666;0.0;0.0;1.0
14.0;False;1.0;0.0;11.0;0.0;14.0;0.0;16.0;13.0;0.16666666666666666;0.0;0.0;1.0
0.0;False;0.0;0.0;14.0;0.0;16.0;0.0;0.0;14.0;0.28125;0.0;0.0;0.0
15.0;False;1.0;0.0;1.0;0.0;1.0;0.0;16.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;11.0;0.0;12.0;0.0;16.0;0.0;11.0;13.0;0.075;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;0.0;0.0;6.0;0.0;7.0;0.0;1.0;5.0;0.21428571428571427;0.0;0.0;0.0
1.0;False;0.0;0.0;6.0;0.0;7.0;0.0;1.0;5.0;0.21428571428571427;0.0;0.0;0.0
