blamemerge_blamegetEffort_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetVocabulary_max;blamemerge_blamegetDifficulty_count;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;AnonymousInnerClassLength_50%;blame_merge_blame_getDifficulty_count;blame_merge_blame_getLength_std;blame_merge_blame_getDifficulty_mean;MethodLength_25%;NumberOfDistinctOperators;MethodLength_50%;MethodLength_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getLength_count;Length;blamemerge_blamegetVocabulary_std;blamemerge_blamegetVocabulary_count;MethodLength_mean;FileLength_min;blamemerge_blamegetEffort_count;Volume;blame_merge_blame_getVolume_min;FileLength_mean;blamemerge_blamegetVolume_mean;blame_merge_blame_getLength_mean;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_max;blamemerge_blamegetVolume_std;blame_merge_blame_getEffort_max;blamemerge_blamegetEffort_mean;blamemerge_blamegetDifficulty_std;blame_merge_blame_getVolume_mean;blamemerge_blamegetLength_max;NumberOfDistinctOperands;MethodLength_min;blame_merge_blame_getEffort_min;blame_merge_blame_getDifficulty_max;blamemerge_blamegetLength_mean;AnonymousInnerClassLength_mean;blame_merge_blame_getVolume_max;AnonymousInnerClassLength_max;AnonymousInnerClassLength_std;FileLength_25%;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_count;FileLength_std;FileLength_max;blame_merge_blame_getLength_min;blame_merge_blame_getVocabulary_count;blame_merge_blame_getVocabulary_min;Bugged;blamemerge_blamegetLength_std;blame_merge_blame_getVolume_count;blame_merge_blame_getLength_max;blamemerge_blamegetEffort_max;TotalNumberOfOperators;FileLength_75%;Effort;blame_merge_blame_getDifficulty_min;AnonymousInnerClassLength_25%;blamemerge_blamegetDifficulty_max;Vocabulary;AnonymousInnerClassLength_min;AnonymousInnerClassLength_75%;MethodLength_std;blamemerge_blamegetVolume_count;FileLength_50%;blamemerge_blamegetVocabulary_mean;FileLength_count;MethodLength_max;blame_merge_blame_getEffort_std;Difficulty;MethodLength_75%;blamemerge_blamegetLength_count;TotalNumberOfOperands;blame_merge_blame_getEffort_count
7.035623639735142;0.0;8.0;22.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;11.0;1.7056057308448835;22.0;0.0;0.0;22.0;33.0;0.0;0.0;1.5;0.0;0.0;33.0;7.035623639735142;0.0;1.5;0.21320071635561044;0.0;11.0;6.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.345207879911715;0.0;0.0;33.0;5.0;0.0;33.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0;22.0;0.0;0.3636363636363637;0.0;0.0;0.0;1.0;0.0;22.0;6.0;0.0
5.386770724024171;0.0;7.0;22.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;1.4924050144892729;22.0;0.0;0.0;22.0;25.266194298518442;0.0;0.0;1.1484633772053836;0.0;0.0;25.266194298518442;5.386770724024171;0.0;1.1484633772053836;0.21320071635561044;0.0;9.0;5.0;0.0;0.0;0.0;0.4090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.9188064472004944;0.0;0.0;25.266194298518442;4.0;0.0;25.266194298518442;0.0;0.0;1.0;7.0;0.0;0.0;0.0;22.0;0.0;0.3181818181818182;0.0;0.0;0.0;1.0;0.0;22.0;5.0;0.0
4.553527795524628;0.0;8.0;65.0;0.0;0.09230769230769233;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.4374790968379867;65.0;0.0;0.0;65.0;59.207035490257475;0.0;0.0;1.1230769230769229;0.0;0.0;33.0;4.553527795524628;0.0;1.1230769230769229;0.2917124506190194;0.0;11.0;8.0;0.0;0.0;0.0;0.5538461538461539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.7050547024836296;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;65.0;0.0;0.5076923076923077;0.0;0.0;0.0;2.5;0.0;65.0;8.0;0.0
45.97383613415746;0.0;10.0;3956.0;0.0;1.0271739130434785;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;526.0;4.488263152794279;3956.0;0.0;0.0;3956.0;3406.235784688325;0.0;0.0;17.921676477049633;0.0;0.0;49.82892142331044;19.380508527002593;0.0;37.75386623750651;1.0994572623085173;0.0;15.0;78.0;0.0;0.0;0.0;5.717391304347826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;5.830432464682528;0.0;0.0;107.96266308383929;302.0;0.0;53801.05752225663;0.0;0.0;2.5;89.0;0.0;0.0;0.0;3956.0;0.0;4.543478260869565;0.0;0.0;0.0;15.794871794871796;0.0;3956.0;224.0;0.0
87.4638398209219;0.0;18.0;4128.0;0.0;1.101128472222222;0.0;0.0;0.0;0.0;0.0;17.25;24.0;18.5;2.0;0.0;0.0;525.0;4.927096527102336;4128.0;18.5;0.0;4128.0;3553.2967705078863;0.0;48.0;17.48885055183225;0.0;0.0;104.2481250360578;23.32330334641603;0.0;44.47907968182796;1.4175753302827137;0.0;25.0;85.0;16.0;0.0;0.0;5.46875;0.0;0.0;0.0;0.0;24.0;0.0;2.0;67.88225099390856;96.0;0.0;0.0;0.0;False;6.283928384101431;0.0;0.0;469.1165626622602;280.0;72.0;122902.26476815512;0.0;0.0;4.666666666666667;109.0;0.0;0.0;3.5355339059327378;4128.0;48.0;4.520833333333333;2.0;21.0;0.0;34.588235294117645;19.75;4128.0;245.0;0.0
86.0068737800838;0.0;19.0;2210.0;0.0;1.0719747899159664;0.0;0.0;0.0;0.0;0.0;12.25;27.0;14.5;4.0;0.0;0.0;954.0;4.7710294507103725;2210.0;19.0;0.0;2210.0;7019.104612405653;0.0;42.5;17.742065018384377;0.0;0.0;104.2481250360578;22.93470160936833;0.0;43.10931251659747;1.3379609429094692;0.0;25.0;137.0;10.0;0.0;0.0;5.6117647058823525;0.0;0.0;0.0;0.0;0.0;0.0;4.0;85.0;170.0;0.0;0.0;0.0;False;6.246588715683902;0.0;0.0;578.5714285714286;505.0;42.5;310556.95334377274;0.0;0.0;5.785714285714287;164.0;0.0;0.0;12.247448713915892;2210.0;0.0;4.5588235294117645;4.0;37.0;0.0;44.24452554744526;21.25;2210.0;449.0;0.0
6.877499545619759;0.0;8.0;946.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;11.0;1.667272617119942;946.0;0.0;0.0;946.0;33.0;0.0;0.0;1.5;0.0;0.0;33.0;6.877499545619759;0.0;1.5;0.2084090771399928;0.0;11.0;6.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.29249984853992;0.0;0.0;33.0;5.0;0.0;33.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0;946.0;0.0;0.3636363636363637;0.0;0.0;0.0;1.0;0.0;946.0;6.0;0.0
65.89809598817597;0.0;18.0;80.0;0.0;0.9208333333333334;0.0;0.0;0.0;0.0;0.0;3.0;23.0;4.0;4.0;0.0;0.0;354.0;4.562349355931615;80.0;6.75;0.0;80.0;2346.792243508182;0.0;20.0;13.447533649300572;0.0;0.0;83.39850002884623;19.512451200860575;0.0;32.14431012902562;1.1930338709185633;0.0;20.0;76.0;3.0;0.0;0.0;4.425;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;80.0;0.0;0.0;0.0;False;5.350440653803519;0.0;0.0;337.58546975577417;196.0;20.0;56106.86192703113;0.0;0.0;4.666666666666667;99.0;0.0;0.0;6.238322424070968;80.0;0.0;3.9125;4.0;16.0;0.0;23.907894736842106;7.75;80.0;158.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.25;24.0;16.5;6.0;0.0;0.0;827.0;0.0;0.0;14.166666666666664;0.0;0.0;5575.193197753748;0.0;23.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;57.56300895540468;141.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;473.0;0.0;285342.4181211797;0.0;0.0;0.0;107.0;0.0;0.0;8.518607084885806;0.0;0.0;0.0;6.0;24.0;0.0;51.180722891566255;19.75;0.0;354.0;0.0
56.16825312254581;0.0;18.0;81.0;0.0;0.7736625514403292;0.0;0.0;0.0;0.0;0.0;3.0;20.0;3.0;7.0;0.0;0.0;300.0;3.9700265882121135;81.0;3.1428571428571432;0.0;81.0;1862.8360096886854;0.0;11.571428571428573;10.54423279598065;0.0;0.0;83.39850002884623;16.623845695224894;0.0;23.459539262387914;1.085673319616586;0.0;20.0;54.0;2.0;0.0;0.0;3.7037037037037037;0.0;0.0;0.0;0.0;0.0;0.0;7.0;30.615122313747406;81.0;0.0;0.0;0.0;False;4.736677222601421;0.0;0.0;337.58546975577417;165.0;0.0;46570.90024221713;0.0;0.0;4.666666666666667;74.0;0.0;0.0;0.8997354108424372;81.0;0.0;3.2962962962962963;7.0;5.0;0.0;25.0;3.0;81.0;135.0;0.0
