RTLOC;NSM;Bugged;TLOC;NOD;ClRCi;ClTCi;NPF;NSF;NOA;NOL;PMd
757.0;3.0;False;453.0;0.0;2.659090909;175.5;23.0;25.0;0.0;0.0;34.0
757.0;3.0;False;453.0;0.0;2.659090909;175.5;23.0;25.0;0.0;0.0;34.0
757.0;3.0;False;453.0;0.0;2.659090909;175.5;23.0;25.0;0.0;0.0;34.0
757.0;3.0;False;453.0;0.0;2.659090909;175.5;23.0;25.0;0.0;0.0;34.0
296.0;2.0;False;237.0;0.0;2.588235294;44.0;0.0;3.0;0.0;0.0;12.0
109.0;1.0;False;78.0;0.0;1.071428571;15.0;0.0;3.0;0.0;0.0;14.0
7.0;0.0;False;4.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0
54.0;0.0;False;34.0;0.0;1.6;8.0;1.0;1.0;0.0;0.0;5.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
373.0;1.0;False;314.0;0.0;2.586206897;75.0;2.0;9.0;0.0;0.0;19.0
51.0;0.0;False;32.0;0.0;2.5;25.0;0.0;0.0;0.0;0.0;10.0
165.0;5.0;False;106.0;0.0;1.038461538;13.5;0.0;1.0;0.0;0.0;8.0
141.0;9.0;False;115.0;0.0;1.3;19.5;1.0;3.0;0.0;0.0;10.0
20.0;0.0;False;17.0;0.0;2.111111111;6.333333333;0.0;0.0;0.0;0.0;1.0
57.0;2.0;False;45.0;0.0;2.0;14.0;1.0;0.0;0.0;0.0;7.0
43.0;0.0;False;23.0;0.0;1.2;6.0;0.0;0.0;0.0;0.0;5.0
17.0;1.0;False;16.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0
32.0;0.0;False;24.0;0.0;1.2;6.0;0.0;1.0;0.0;0.0;5.0
147.0;3.0;False;130.0;0.0;2.107142857;44.25;0.0;1.0;0.0;0.0;21.0
32.0;0.0;False;23.0;0.0;2.0;8.0;0.0;0.0;0.0;0.0;4.0
17.0;0.0;False;12.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;3.0
1927.0;103.0;False;947.0;0.0;3.59894822;370.691666667;10.0;15.0;0.0;0.0;97.0
1927.0;103.0;False;947.0;0.0;3.59894822;370.691666667;10.0;15.0;0.0;0.0;97.0
1927.0;103.0;False;947.0;0.0;3.59894822;370.691666667;10.0;15.0;0.0;0.0;97.0
9.0;0.0;False;5.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0
97.0;1.0;False;84.0;0.0;2.125;17.0;0.0;2.0;0.0;0.0;8.0
470.0;47.0;False;403.0;0.0;2.722222222;130.66666666700002;1.0;1.0;0.0;0.0;45.0
37.0;1.0;False;29.0;0.0;1.6;8.0;0.0;0.0;0.0;0.0;4.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46.0;3.0;False;34.0;0.0;2.375;9.5;1.0;2.0;0.0;0.0;3.0
117.0;7.0;False;97.0;0.0;2.125;17.0;0.0;2.0;0.0;0.0;6.0
308.0;7.0;False;199.0;0.0;2.615384615;34.0;0.0;0.0;0.0;0.0;9.0
308.0;7.0;False;199.0;0.0;2.615384615;34.0;0.0;0.0;0.0;0.0;9.0
134.0;0.0;False;112.0;0.0;2.2;22.0;0.0;1.0;0.0;0.0;6.0
45.0;2.0;False;37.0;0.0;1.666666667;5.0;0.0;1.0;0.0;0.0;2.0
62.0;4.0;False;21.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;4.0
8.0;0.0;False;7.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0
160.0;18.0;False;148.0;0.0;2.5;45.0;12.0;13.0;0.0;0.0;16.0
22.0;3.0;False;14.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;3.0
189.0;2.0;False;104.0;0.0;3.071333333;76.783333333;1.0;3.0;0.0;0.0;13.0
47.0;4.0;False;36.0;0.0;1.375;5.5;0.0;1.0;0.0;0.0;3.0
12.0;0.0;False;9.0;0.0;1.5;3.0;0.0;0.0;0.0;0.0;2.0
22.0;0.0;False;15.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;4.0
219.0;23.0;False;160.0;0.0;2.166666667;52.0;0.0;2.0;0.0;0.0;23.0
131.0;0.0;False;111.0;0.0;1.348484848;14.833333332999999;1.0;2.0;0.0;0.0;10.0
32.0;1.0;False;27.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;1.0
175.0;3.0;False;110.0;0.0;1.795454545;39.5;2.0;2.0;0.0;0.0;20.0
51.0;0.0;False;41.0;0.0;2.333333333;7.0;0.0;1.0;0.0;0.0;2.0
87.0;15.0;False;59.0;0.0;2.375;38.0;0.0;3.0;0.0;0.0;15.0
29.0;0.0;False;25.0;0.0;1.5;3.0;1.0;1.0;0.0;0.0;1.0
5.0;0.0;False;4.0;0.0;1.5;3.0;0.0;0.0;0.0;0.0;0.0
95.0;0.0;False;67.0;0.0;4.75;19.0;0.0;1.0;0.0;0.0;3.0
41.0;1.0;False;33.0;0.0;1.75;7.0;0.0;2.0;0.0;0.0;2.0
15.0;1.0;False;13.0;0.0;1.5;3.0;0.0;0.0;0.0;0.0;1.0
279.0;3.0;False;236.0;0.0;2.8458333330000003;45.533333333;3.0;5.0;0.0;0.0;11.0
279.0;3.0;False;236.0;0.0;2.8458333330000003;45.533333333;3.0;5.0;0.0;0.0;11.0
279.0;3.0;False;236.0;0.0;2.8458333330000003;45.533333333;3.0;5.0;0.0;0.0;11.0
279.0;3.0;False;236.0;0.0;2.8458333330000003;45.533333333;3.0;5.0;0.0;0.0;11.0
52.0;0.0;False;38.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0
47.0;1.0;False;38.0;0.0;1.714285714;12.0;0.0;0.0;0.0;0.0;7.0
