DispersedCoupling_top;AntiSingleton;NumberOfDistinctOperators;Difficulty;DispersedCoupling_unique;DispersedCoupling_freq;Bugged;DispersedCoupling_count;NumberOfDistinctOperands
False;False;28.0;33.833333333333336;0.0;0.0;False;0.0;72.0
False;False;43.0;111.97398843930635;1.0;4.0;False;4.0;346.0
False;False;16.0;16.0;0.0;0.0;False;0.0;22.0
False;False;7.0;5.0;0.0;0.0;False;0.0;14.0
False;False;25.0;28.392857142857146;1.0;1.0;False;1.0;70.0
False;False;34.0;56.165745856353595;1.0;1.0;False;1.0;181.0
False;False;31.0;44.89655172413793;1.0;2.0;False;2.0;87.0
False;False;30.0;37.13114754098361;0.0;0.0;False;0.0;61.0
False;False;9.0;6.63157894736842;0.0;0.0;False;0.0;19.0
False;False;9.0;6.75;0.0;0.0;False;0.0;16.0
False;False;21.0;17.741379310344826;0.0;0.0;False;0.0;29.0
False;False;28.0;48.921348314606746;1.0;1.0;True;1.0;89.0
False;False;39.0;71.67567567567569;1.0;2.0;True;2.0;185.0
False;False;22.0;22.785714285714285;0.0;0.0;False;0.0;56.0
False;False;22.0;24.12280701754386;0.0;0.0;False;0.0;57.0
False;False;10.0;6.666666666666668;0.0;0.0;False;0.0;15.0
False;False;24.0;29.468354430379748;1.0;1.0;True;1.0;79.0
False;False;38.0;84.86666666666666;1.0;3.0;True;3.0;255.0
False;False;10.0;6.666666666666668;0.0;0.0;False;0.0;15.0
False;False;14.0;7.0;0.0;0.0;False;0.0;15.0
False;False;13.0;10.4;0.0;0.0;False;0.0;20.0
False;False;14.0;7.0;0.0;0.0;False;0.0;15.0
False;False;13.0;10.4;0.0;0.0;False;0.0;20.0
False;False;13.0;6.5;0.0;0.0;False;0.0;14.0
False;False;13.0;6.5;0.0;0.0;False;0.0;13.0
False;False;19.0;15.635416666666664;0.0;0.0;False;0.0;48.0
False;False;23.0;64.54081632653062;1.0;4.0;False;4.0;196.0
False;False;10.0;8.0;0.0;0.0;False;0.0;20.0
False;False;15.0;27.15517241379311;1.0;4.0;False;4.0;87.0
False;False;34.0;127.74485596707821;1.0;5.0;True;5.0;243.0
False;False;15.0;15.25;0.0;0.0;False;0.0;30.0
False;False;26.0;46.6063829787234;1.0;1.0;False;1.0;94.0
False;False;15.0;15.595238095238097;0.0;0.0;False;0.0;63.0
False;False;21.0;28.26923076923077;0.0;0.0;False;0.0;78.0
False;False;19.0;55.11507936507937;0.0;0.0;True;0.0;126.0
False;False;22.0;61.089285714285715;1.0;5.0;True;5.0;112.0
False;False;18.0;35.619718309859145;1.0;2.0;True;2.0;71.0
False;False;13.0;10.46341463414634;0.0;0.0;False;0.0;41.0
False;False;39.0;87.02670623145399;1.0;10.0;True;10.0;337.0
False;False;12.0;7.428571428571429;0.0;0.0;False;0.0;21.0
False;False;34.0;60.254437869822475;1.0;1.0;False;1.0;169.0
False;False;28.0;53.639534883720934;1.0;2.0;True;2.0;172.0
False;False;26.0;45.62264150943397;1.0;3.0;False;3.0;106.0
False;False;23.0;40.10625;0.0;0.0;False;0.0;80.0
False;False;24.0;40.0;1.0;4.0;True;4.0;135.0
False;False;26.0;36.444444444444436;0.0;0.0;True;0.0;117.0
False;False;26.0;36.444444444444436;1.0;1.0;True;1.0;117.0
False;False;12.0;18.91304347826087;1.0;1.0;False;1.0;46.0
False;False;21.0;65.68333333333334;0.0;0.0;False;0.0;90.0
False;False;19.0;32.884615384615394;0.0;0.0;False;0.0;65.0
False;False;20.0;21.89873417721519;0.0;0.0;False;0.0;79.0
False;False;14.0;13.6;0.0;0.0;False;0.0;35.0
False;False;15.0;16.71875;0.0;0.0;False;0.0;48.0
False;False;19.0;23.5125;1.0;1.0;False;1.0;40.0
False;False;30.0;55.02906976744186;1.0;2.0;False;2.0;172.0
False;False;16.0;19.428571428571427;0.0;0.0;True;0.0;42.0
False;False;16.0;19.428571428571427;0.0;0.0;True;0.0;42.0
False;False;19.0;27.67391304347826;1.0;1.0;True;1.0;92.0
False;False;27.0;77.2377049180328;1.0;6.0;True;6.0;183.0
False;False;35.0;72.275;2.0;3.0;True;4.0;200.0
False;False;13.0;9.5;0.0;0.0;False;0.0;13.0
False;False;9.0;7.071428571428571;0.0;0.0;False;0.0;14.0
False;False;9.0;6.642857142857142;0.0;0.0;False;0.0;21.0
False;False;8.0;4.0;0.0;0.0;False;0.0;11.0
False;False;15.0;26.612903225806452;0.0;0.0;False;0.0;31.0
False;False;45.0;95.65165876777252;1.0;3.0;False;3.0;422.0
False;False;18.0;30.535714285714285;0.0;0.0;False;0.0;28.0
False;False;17.0;22.1;0.0;0.0;False;0.0;75.0
False;False;18.0;26.1;0.0;0.0;False;0.0;50.0
False;False;13.0;10.46341463414634;1.0;1.0;False;1.0;41.0
False;False;31.0;69.58029197080292;1.0;4.0;False;4.0;274.0
False;False;29.0;55.661290322580655;1.0;2.0;False;2.0;186.0
False;False;31.0;47.04385964912281;0.0;0.0;False;0.0;57.0
False;False;26.0;37.30434782608695;1.0;1.0;False;1.0;115.0
False;False;13.0;12.535714285714285;1.0;1.0;False;1.0;42.0
