NumberOfModifiers;ThrowsCount;NBD;Si;WMC_CK;Maximum Depth;NumberOfPackageMethod;NestedForDepth;VG;MethodLength;NVAR;BooleanExpressionComplexity;NPathComplexity;NumberOfMathOperations;MaxNumberOfNestedBlocks;NCSSForThisFile;ExecutableStatementCount;MCLC;Di;NCOMP;IOVars;Ci;FileLength;NumberOfPrivateMethod;ClassDataAbstractionCoupling;Fout;NestedIfElseDepth;NCSSForThisMethod;CyclomaticComplexity;NumberOfProtectedMethod;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;BuggedMethods;AnonymousInnerClassLength;Fin;NestedTryDepth;ClassFanOutComplexity;NCSSForThisClass;NOP
2.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0
2.0;0.0;3.0;4.0;3.0;4.0;0.0;0.0;3.0;16.0;1.0;0.0;3.0;0.0;2.0;0.0;8.0;2.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;2.0;1.0;9.0;3.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0
2.0;0.0;2.0;4.0;2.0;3.0;0.0;0.0;2.0;9.0;0.0;0.0;2.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;6.0;2.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0
2.0;0.0;2.0;4.0;2.0;3.0;0.0;0.0;2.0;10.0;0.0;0.0;2.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;6.0;2.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;25.0;1.0;2.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;5.0;0.0;6.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0
2.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0
2.0;0.0;2.0;4.0;2.0;3.0;0.0;0.0;2.0;12.0;0.0;0.0;2.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;8.0;2.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0
2.0;0.0;2.0;4.0;2.0;3.0;0.0;0.0;2.0;10.0;0.0;0.0;2.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;6.0;2.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0
9.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
